datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,RKFORGE,EQ,925.5,901.1,924.0,913.6,912.0,920.4,669889,610700301.5,998.45,472.0,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,RKFORGE,EQ,923.95,900.0,919.95,909.95,910.1,913.6,445125,406196675.95,998.45,472.0,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,RKFORGE,EQ,914.5,885.0,909.95,887.3,888.55,909.95,539711,485337069.35,998.45,472.0,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,RKFORGE,EQ,885.0,845.5,885.0,863.45,859.0,887.3,799844,689674030.3,998.45,472.0,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,RKFORGE,EQ,894.0,845.0,850.0,889.3,891.0,863.45,414663,364272852.4,998.45,510.0,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,RKFORGE,EQ,900.65,829.75,889.3,888.95,886.9,889.3,655486,575311499.05,998.45,510.0,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,RKFORGE,EQ,899.9,875.0,889.0,890.95,883.1,888.95,663220,589307607.15,998.45,510.0,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,RKFORGE,EQ,878.95,865.2,878.0,874.15,873.05,890.95,514338,449269623.95,998.45,510.0,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,RKFORGE,EQ,875.45,834.2,873.1,841.25,840.6,874.15,722066,615902397.05,998.45,510.0,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,RKFORGE,EQ,880.0,835.5,857.0,842.05,841.0,841.25,613517,523550988.05,998.45,535.65,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,RKFORGE,EQ,861.85,839.0,845.9,857.7,856.85,842.05,276656,235642692.25,998.45,535.65,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,RKFORGE,EQ,864.7,841.4,864.0,857.85,859.1,857.7,510466,434247881.55,998.45,535.65,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,RKFORGE,EQ,869.9,842.0,869.9,847.8,845.25,857.85,254334,216494235.1,998.45,535.65,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,RKFORGE,EQ,918.4,835.0,841.65,887.2,886.0,847.8,5200543,4633850591.05,998.45,535.65,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,RKFORGE,EQ,872.85,837.2,872.8,844.8,838.0,887.2,1366196,1167559426.6,998.45,563.5,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,RKFORGE,EQ,876.65,856.25,860.0,860.85,862.0,844.8,720447,624218864.2,998.45,563.5,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,RKFORGE,EQ,939.0,879.35,880.0,931.7,935.8,860.85,4045323,3686167285.0,998.45,563.5,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,RKFORGE,EQ,953.4,924.35,933.0,933.55,938.95,931.7,1595963,1498752637.65,998.45,563.5,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,RKFORGE,EQ,946.5,924.5,940.9,934.85,930.0,933.55,586436,547186182.95,998.45,563.5,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,RKFORGE,EQ,943.0,913.5,933.5,927.75,928.7,934.85,532511,493435120.4,998.45,577.05,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,RKFORGE,EQ,949.8,912.3,927.75,925.95,924.05,927.75,725367,676995045.15,998.45,577.05,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,RKFORGE,EQ,949.5,908.0,930.1,934.35,928.05,925.95,1019171,950063753.3,998.45,577.05,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,RKFORGE,EQ,957.95,924.9,949.0,932.5,937.4,934.35,508331,476826075.7,998.45,577.05,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,RKFORGE,EQ,950.8,935.0,937.95,947.95,950.8,932.5,371457,350238255.4,998.45,583.5,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,RKFORGE,EQ,975.0,915.0,955.0,924.5,920.9,947.95,1626436,1542500935.0,998.45,583.5,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,RKFORGE,EQ,943.65,916.6,921.0,927.1,929.0,924.5,424863,396239969.8,998.45,583.5,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,RKFORGE,EQ,961.0,920.05,928.0,957.15,958.0,927.1,1411310,1330912540.75,998.45,583.5,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,RKFORGE,EQ,979.4,950.1,964.0,966.8,965.0,957.15,1258853,1213133239.2,998.45,583.5,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,RKFORGE,EQ,970.0,940.5,970.0,950.7,950.0,966.8,494443,471846256.65,998.45,583.5,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,RKFORGE,EQ,962.6,938.05,955.2,947.85,945.1,950.7,389262,369225224.15,998.45,583.5,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,RKFORGE,EQ,963.0,942.0,957.0,948.85,943.05,947.85,331751,314761718.0,998.45,583.5,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,RKFORGE,EQ,979.0,942.0,948.35,964.5,961.5,948.85,974677,938189058.5,998.45,583.5,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,RKFORGE,EQ,983.6,956.0,967.5,967.95,966.0,964.5,502176,484406332.05,998.45,583.5,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,RKFORGE,EQ,976.45,944.4,975.2,958.75,955.0,967.95,609236,584209706.65,998.45,583.5,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,RKFORGE,EQ,1010.95,951.6,955.0,977.15,975.05,958.75,3013769,2980724655.9,1010.95,583.5,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,RKFORGE,EQ,999.9,963.0,970.0,993.95,996.0,977.15,1130409,1115295298.05,1010.95,583.5,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,RKFORGE,EQ,1012.2,982.5,999.95,989.8,990.0,993.95,933258,931751661.65,1012.2,583.5,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,RKFORGE,EQ,998.6,964.45,990.0,968.75,965.0,989.8,655085,640330304.6,1012.2,583.5,2024-09-05T18:30:00.000Z
2024-09-08T18:30:00.000Z,RKFORGE,EQ,982.0,944.95,961.0,974.0,973.55,968.75,520149,502063373.85,1012.2,583.5,2024-09-08T18:30:00.000Z
2024-09-09T18:30:00.000Z,RKFORGE,EQ,991.45,964.05,980.0,968.85,967.0,974.0,281109,274262619.3,1012.2,583.5,2024-09-09T18:30:00.000Z
2024-09-10T18:30:00.000Z,RKFORGE,EQ,984.0,960.0,969.9,971.25,980.0,968.85,348925,339663861.5,1012.2,583.5,2024-09-10T18:30:00.000Z
2024-09-11T18:30:00.000Z,RKFORGE,EQ,985.0,960.45,980.0,981.5,981.5,971.25,265135,258411913.1,1012.2,583.5,2024-09-11T18:30:00.000Z
2024-09-12T18:30:00.000Z,RKFORGE,EQ,1023.7,979.05,991.65,1009.1,1008.9,981.5,1026232,1034745840.8,1023.7,583.5,2024-09-12T18:30:00.000Z
2024-09-15T18:30:00.000Z,RKFORGE,EQ,1035.45,985.0,1020.45,987.6,987.25,1009.1,584311,590402088.8,1035.45,583.5,2024-09-15T18:30:00.000Z
2024-09-16T18:30:00.000Z,RKFORGE,EQ,992.0,972.05,989.0,989.5,990.5,987.6,321331,316078084.85,1035.45,583.5,2024-09-16T18:30:00.000Z
2024-09-17T18:30:00.000Z,RKFORGE,EQ,1038.7,972.0,991.0,1021.7,1014.0,989.5,1004703,1010976482.6,1038.7,583.5,2024-09-17T18:30:00.000Z
2024-09-18T18:30:00.000Z,RKFORGE,EQ,1024.35,984.1,1015.0,1002.75,995.1,1021.7,482505,482764645.15,1038.7,583.5,2024-09-18T18:30:00.000Z
2024-09-19T18:30:00.000Z,RKFORGE,EQ,1025.0,989.15,1004.05,1010.2,1005.0,1002.75,1474809,1480748674.0,1038.7,583.5,2024-09-19T18:30:00.000Z
2024-09-22T18:30:00.000Z,RKFORGE,EQ,1024.9,998.05,1010.0,1016.0,1015.4,1010.2,390647,396317130.7,1038.7,583.5,2024-09-22T18:30:00.000Z
