datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,SAPPHIRE,EQ,1570.95,1540.0,1552.0,1556.15,1559.95,1551.65,130300,202400474.7,1680.0,1213.0,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,SAPPHIRE,EQ,1560.9,1531.0,1560.9,1550.4,1551.3,1556.15,36486,56280658.9,1680.0,1213.0,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,SAPPHIRE,EQ,1557.0,1530.9,1554.95,1549.15,1549.0,1550.4,206146,318839202.05,1680.0,1213.0,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,SAPPHIRE,EQ,1556.75,1513.7,1549.15,1526.25,1517.15,1549.15,148871,228278761.15,1680.0,1213.0,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,SAPPHIRE,EQ,1550.0,1490.45,1505.05,1528.7,1550.0,1526.25,89715,136375142.0,1680.0,1213.0,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,SAPPHIRE,EQ,1566.95,1485.0,1549.0,1562.2,1566.0,1528.7,107324,163921659.15,1680.0,1213.0,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,SAPPHIRE,EQ,1636.0,1553.05,1562.2,1625.4,1615.2,1562.2,126205,203098771.2,1680.0,1213.0,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,SAPPHIRE,EQ,1608.9,1565.0,1608.9,1579.55,1581.0,1625.4,140208,221842987.7,1680.0,1213.0,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,SAPPHIRE,EQ,1599.0,1550.0,1599.0,1555.8,1555.0,1579.55,21838,34200373.25,1680.0,1213.0,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,SAPPHIRE,EQ,1588.75,1554.1,1579.0,1580.75,1577.65,1555.8,148853,235093279.15,1680.0,1213.0,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,SAPPHIRE,EQ,1617.0,1561.25,1581.0,1605.45,1604.9,1580.75,253529,404993003.7,1680.0,1213.0,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,SAPPHIRE,EQ,1676.0,1584.0,1604.9,1651.85,1650.0,1605.45,194904,321111456.3,1680.0,1213.0,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,SAPPHIRE,EQ,1817.2,1652.7,1657.6,1695.45,1699.95,1651.85,1011491,1752190835.15,1817.2,1213.0,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,SAPPHIRE,EQ,1698.0,1666.35,1689.95,1678.15,1683.9,1695.45,92942,156356222.8,1817.2,1213.0,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,SAPPHIRE,EQ,1663.35,1613.5,1655.8,1631.5,1631.1,1678.15,87283,142638722.6,1817.2,1213.0,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,SAPPHIRE,EQ,1691.85,1630.65,1631.45,1656.25,1660.0,1631.5,72168,120593992.1,1817.2,1213.0,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,SAPPHIRE,EQ,1715.0,1627.8,1664.2,1642.9,1628.95,1656.25,2644848,4366170838.15,1817.2,1213.0,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,SAPPHIRE,EQ,1652.0,1604.0,1648.0,1610.8,1611.0,1642.9,59053,95626293.45,1817.2,1213.0,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,SAPPHIRE,EQ,1624.95,1575.0,1615.0,1590.6,1599.0,1610.8,135986,217865937.3,1817.2,1213.0,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,SAPPHIRE,EQ,1611.3,1572.7,1576.1,1594.45,1581.3,1590.6,89199,142630997.25,1817.2,1213.0,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,SAPPHIRE,EQ,1594.4,1537.05,1594.4,1544.1,1540.0,1594.45,167654,261886858.85,1817.2,1213.0,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,SAPPHIRE,EQ,1558.3,1518.05,1550.0,1536.2,1534.95,1544.1,216261,331622609.9,1817.2,1213.0,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,SAPPHIRE,EQ,1577.0,1539.0,1541.0,1562.95,1564.5,1536.2,60900,94678110.95,1817.2,1213.0,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,SAPPHIRE,EQ,1578.4,1544.2,1578.4,1557.8,1565.0,1562.95,123788,191998883.5,1817.2,1213.0,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,SAPPHIRE,EQ,1635.0,1552.0,1610.0,1573.25,1577.0,1557.8,103187,162601479.6,1817.2,1213.0,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,SAPPHIRE,EQ,1613.2,1558.0,1579.9,1593.8,1600.0,1573.25,81688,130085723.85,1817.2,1213.0,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,SAPPHIRE,EQ,1643.0,1600.0,1600.0,1608.9,1610.0,1593.8,149604,242258078.15,1817.2,1213.0,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,SAPPHIRE,EQ,1639.9,1615.0,1624.1,1630.45,1628.1,1608.9,91565,148883158.85,1817.2,1213.0,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,SAPPHIRE,EQ,1644.9,1615.7,1644.9,1620.55,1620.0,1630.45,63164,102593325.8,1817.2,1213.0,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,SAPPHIRE,EQ,1644.8,1613.0,1628.0,1621.2,1616.6,1620.55,65263,106126313.5,1817.2,1213.0,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,SAPPHIRE,EQ,1633.95,1601.1,1633.95,1603.85,1606.45,1621.2,48716,78571681.1,1817.2,1213.0,2024-08-27T18:30:00.000Z
