datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,SBILIFE,EQ,1620.9,1557.9,1562.85,1613.45,1609.0,1562.85,2498480,4001998069.3,1620.9,1251.65,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,SBILIFE,EQ,1639.6,1592.2,1613.4,1621.35,1618.8,1613.45,1844059,2983797958.15,1639.6,1251.65,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,SBILIFE,EQ,1664.95,1615.05,1620.0,1659.8,1651.0,1621.35,2104021,3463323719.7,1664.95,1251.65,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,SBILIFE,EQ,1658.55,1632.0,1632.0,1647.7,1642.8,1659.8,567209,934981693.05,1664.95,1251.65,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,SBILIFE,EQ,1647.7,1618.65,1641.1,1621.15,1619.1,1647.7,397490,647438256.25,1664.95,1251.65,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,SBILIFE,EQ,1638.0,1578.05,1621.15,1594.85,1601.0,1621.15,2145861,3435184853.65,1664.95,1251.65,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,SBILIFE,EQ,1650.0,1579.65,1580.0,1632.95,1632.65,1594.85,2099093,3409506616.65,1664.95,1251.65,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,SBILIFE,EQ,1701.35,1645.0,1645.0,1695.4,1692.0,1632.95,4427012,7417701447.0,1701.35,1251.65,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,SBILIFE,EQ,1777.7,1686.25,1686.25,1750.95,1750.6,1695.4,2982227,5216364544.85,1777.7,1251.65,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,SBILIFE,EQ,1763.55,1736.5,1752.5,1746.7,1745.6,1750.95,1368641,2390503184.95,1777.7,1251.65,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,SBILIFE,EQ,1746.3,1708.0,1740.5,1721.05,1717.45,1746.7,2096978,3618364432.0,1777.7,1251.65,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,SBILIFE,EQ,1760.0,1720.0,1721.05,1753.65,1755.0,1721.05,1082466,1892812858.7,1777.7,1251.65,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,SBILIFE,EQ,1791.15,1758.1,1791.1,1767.25,1761.8,1753.65,1247361,2208705742.65,1791.15,1251.65,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,SBILIFE,EQ,1768.9,1731.0,1760.0,1744.9,1748.3,1767.25,594517,1040054272.45,1791.15,1251.65,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,SBILIFE,EQ,1739.35,1679.95,1680.0,1722.2,1724.75,1744.9,1240111,2131266953.9,1791.15,1264.35,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,SBILIFE,EQ,1780.0,1670.1,1722.2,1674.5,1680.35,1722.2,1500825,2544151485.1,1791.15,1264.35,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,SBILIFE,EQ,1698.9,1677.1,1690.05,1685.7,1686.55,1674.5,603417,1016766621.55,1791.15,1264.35,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,SBILIFE,EQ,1715.15,1670.05,1671.1,1706.3,1706.25,1685.7,1291138,2187394041.15,1791.15,1264.35,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,SBILIFE,EQ,1733.4,1708.0,1720.0,1725.1,1729.95,1706.3,804893,1388589032.4,1791.15,1264.35,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,SBILIFE,EQ,1730.0,1692.05,1722.9,1705.0,1700.1,1725.1,1019251,1746664062.0,1791.15,1264.35,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,SBILIFE,EQ,1721.3,1672.05,1705.0,1682.4,1683.0,1705.0,1064268,1794720982.85,1791.15,1264.35,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,SBILIFE,EQ,1707.35,1673.0,1696.2,1692.1,1688.75,1682.4,557473,944125285.0,1791.15,1264.35,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,SBILIFE,EQ,1702.1,1666.15,1699.0,1688.9,1690.9,1692.1,721574,1216700904.55,1791.15,1264.35,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,SBILIFE,EQ,1696.8,1666.0,1696.8,1671.55,1672.75,1688.9,632647,1058620910.5,1791.15,1264.35,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,SBILIFE,EQ,1770.8,1672.75,1672.8,1761.3,1763.2,1671.55,3951662,6883540522.05,1791.15,1264.35,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,SBILIFE,EQ,1804.45,1750.9,1761.3,1800.6,1800.8,1761.3,2972530,5320808365.2,1804.45,1264.35,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,SBILIFE,EQ,1812.4,1789.85,1801.0,1795.25,1790.05,1800.6,1380510,2485356529.75,1812.4,1264.35,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,SBILIFE,EQ,1798.4,1782.0,1789.5,1789.3,1792.0,1795.25,858249,1537116789.6,1812.4,1264.35,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,SBILIFE,EQ,1801.45,1769.35,1791.0,1796.25,1796.9,1789.3,593628,1063585843.0,1812.4,1264.35,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,SBILIFE,EQ,1848.6,1784.1,1788.4,1838.95,1837.0,1796.25,2239371,4093987454.4,1848.6,1264.35,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,SBILIFE,EQ,1854.25,1826.0,1838.75,1843.7,1843.4,1838.95,724092,1335512548.5,1854.25,1264.35,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,SBILIFE,EQ,1867.75,1835.5,1840.0,1843.7,1841.75,1843.7,2248185,4157764765.4,1867.75,1264.35,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,SBILIFE,EQ,1869.8,1837.0,1839.95,1850.3,1854.7,1843.7,2125138,3937830679.55,1869.8,1264.35,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,SBILIFE,EQ,1894.65,1849.05,1850.3,1888.75,1887.45,1850.3,2522132,4735399602.3,1894.65,1264.35,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,SBILIFE,EQ,1936.0,1881.75,1890.0,1928.65,1921.15,1888.75,3457882,6596809146.05,1936.0,1264.35,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,SBILIFE,EQ,1920.0,1902.35,1910.0,1912.2,1915.4,1928.65,952279,1819698168.75,1936.0,1264.35,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,SBILIFE,EQ,1919.0,1900.2,1919.0,1907.85,1907.05,1912.2,947097,1806654665.7,1936.0,1264.35,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,SBILIFE,EQ,1916.85,1889.45,1898.1,1896.3,1902.95,1907.85,772396,1466861223.55,1936.0,1264.35,2024-09-05T18:30:00.000Z
2024-09-08T18:30:00.000Z,SBILIFE,EQ,1932.85,1894.5,1900.85,1901.75,1897.05,1896.3,1845859,3532456067.05,1936.0,1264.35,2024-09-08T18:30:00.000Z
2024-09-09T18:30:00.000Z,SBILIFE,EQ,1890.0,1838.75,1890.0,1853.45,1855.0,1901.75,2515665,4674580672.25,1936.0,1264.35,2024-09-09T18:30:00.000Z
2024-09-10T18:30:00.000Z,SBILIFE,EQ,1871.05,1844.55,1845.1,1859.15,1855.55,1853.45,630094,1171399571.2,1936.0,1264.35,2024-09-10T18:30:00.000Z
2024-09-11T18:30:00.000Z,SBILIFE,EQ,1880.0,1840.6,1863.0,1875.95,1867.0,1859.15,1126825,2102419094.5,1936.0,1264.35,2024-09-11T18:30:00.000Z
2024-09-12T18:30:00.000Z,SBILIFE,EQ,1871.75,1841.75,1869.0,1846.5,1845.0,1875.95,886112,1640120300.9,1936.0,1264.35,2024-09-12T18:30:00.000Z
