datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,SJVN,EQ,158.0,147.52,151.55,153.78,154.41,150.69,62528081,9638590100.03,170.5,45.35,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,SJVN,EQ,156.0,150.5,154.65,151.33,151.75,153.78,22878049,3505973516.46,170.5,45.35,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,SJVN,EQ,153.4,144.21,151.9,146.44,146.5,151.33,25911911,3825173953.72,170.5,45.35,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,SJVN,EQ,147.49,140.18,145.0,140.9,140.8,146.44,21169916,3033566127.89,170.5,45.35,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,SJVN,EQ,144.79,138.13,139.98,144.18,144.03,140.9,14036159,2005849741.24,170.5,52.75,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,SJVN,EQ,149.18,130.1,145.0,146.59,146.2,144.18,33060907,4688058351.51,170.5,52.75,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,SJVN,EQ,148.25,143.42,144.3,144.48,144.4,146.59,14271564,2078007858.76,170.5,52.75,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,SJVN,EQ,143.6,140.59,143.0,141.04,140.9,144.48,9982023,1416824852.62,170.5,52.75,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,SJVN,EQ,159.65,147.5,156.53,148.11,148.0,141.04,105299846,16140181882.82,170.5,52.75,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,SJVN,EQ,152.25,147.9,149.4,150.83,150.5,148.11,25730974,3864163666.91,170.5,52.75,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,SJVN,EQ,151.9,149.32,149.89,150.85,150.65,150.83,15490158,2331883773.64,170.5,52.75,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,SJVN,EQ,153.7,147.0,151.5,148.47,148.5,150.85,19842731,2985501675.76,170.5,52.75,2024-07-30T18:30:00.000Z
