datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,SONACOMS,EQ,764.5,712.05,731.6,725.45,729.0,724.4,3439391,2538476111.65,764.5,488.1,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,SONACOMS,EQ,731.1,708.5,727.6,714.15,711.5,725.45,792233,568726996.3,764.5,488.1,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,SONACOMS,EQ,721.9,701.75,710.0,711.5,711.0,714.15,1328438,943443855.85,764.5,488.1,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,SONACOMS,EQ,711.0,682.0,711.0,693.5,691.0,711.5,1129597,780494712.5,764.5,488.1,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,SONACOMS,EQ,710.0,678.0,686.95,708.0,706.55,693.5,1191022,834971697.9,764.5,488.1,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,SONACOMS,EQ,710.5,681.7,708.0,698.05,700.0,708.0,1200719,834646178.05,764.5,488.1,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,SONACOMS,EQ,705.0,686.0,703.0,687.45,688.9,698.05,487844,338769902.75,764.5,488.1,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,SONACOMS,EQ,718.0,688.75,699.0,697.9,693.95,687.45,3355349,2342377924.9,764.5,488.1,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,SONACOMS,EQ,715.3,688.0,704.85,690.25,690.65,697.9,1069519,749553672.75,764.5,488.1,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,SONACOMS,EQ,696.3,680.05,695.85,685.05,685.0,690.25,1145859,784165066.55,764.5,488.1,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,SONACOMS,EQ,703.0,676.15,693.05,679.0,678.85,685.05,1868439,1286214879.15,764.5,488.1,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,SONACOMS,EQ,683.45,666.65,682.7,679.25,680.8,679.0,1659742,1123948408.55,764.5,488.1,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,SONACOMS,EQ,683.1,668.25,679.0,672.55,673.55,679.25,792866,534792309.2,764.5,488.1,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,SONACOMS,EQ,693.0,663.4,664.9,689.2,690.0,672.55,1217493,831578039.5,764.5,488.1,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,SONACOMS,EQ,676.75,647.6,671.0,658.35,658.3,689.2,3095537,2042659060.9,764.5,488.1,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,SONACOMS,EQ,674.8,648.6,655.55,651.35,651.55,658.35,721444,477319946.3,764.5,488.1,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,SONACOMS,EQ,669.45,650.05,669.45,655.65,657.3,651.35,528032,346242222.8,764.5,488.1,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,SONACOMS,EQ,667.85,648.7,657.4,655.3,658.7,655.65,1150238,759599227.3,764.5,488.1,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,SONACOMS,EQ,689.0,662.25,663.4,678.8,678.9,655.3,2076432,1401016090.25,764.5,488.1,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,SONACOMS,EQ,677.35,660.1,670.1,665.65,665.9,678.8,1234517,824093410.85,764.5,488.1,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,SONACOMS,EQ,675.2,657.1,665.0,659.5,659.6,665.65,721791,479154488.85,764.5,488.1,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,SONACOMS,EQ,667.75,643.75,665.45,652.35,654.9,659.5,1816896,1185309652.45,764.5,488.1,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,SONACOMS,EQ,691.3,656.4,656.7,686.7,686.5,652.35,1924721,1316004567.9,764.5,488.1,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,SONACOMS,EQ,695.6,679.0,693.9,690.4,689.0,686.7,553062,381705206.95,764.5,488.1,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,SONACOMS,EQ,702.2,681.6,694.75,699.6,699.0,690.4,666703,462368802.3,764.5,488.1,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,SONACOMS,EQ,701.75,680.2,700.0,681.95,683.75,699.6,980338,671122783.4,764.5,488.1,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,SONACOMS,EQ,695.45,684.3,684.9,689.95,689.85,681.95,783372,540446479.75,764.5,488.1,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,SONACOMS,EQ,700.25,685.3,689.85,695.35,697.0,689.95,740655,513501547.8,764.5,488.1,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,SONACOMS,EQ,719.5,690.15,695.65,715.7,717.0,695.35,1494572,1056359406.2,764.5,488.1,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,SONACOMS,EQ,736.9,696.3,719.3,707.45,700.0,715.7,2966671,2147487912.6,764.5,488.1,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,SONACOMS,EQ,717.95,697.0,705.0,700.1,702.0,707.45,1089403,771799045.55,764.5,488.1,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,SONACOMS,EQ,722.3,686.0,700.15,689.15,692.0,700.1,1577836,1104425422.45,764.5,488.1,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,SONACOMS,EQ,698.7,678.0,691.95,683.35,685.0,689.15,2415730,1655943060.15,764.5,488.1,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,SONACOMS,EQ,729.9,682.5,685.0,715.05,721.5,683.35,5417373,3889596733.0,764.5,488.1,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,SONACOMS,EQ,736.5,707.0,722.0,710.8,710.2,715.05,2659537,1921129023.25,764.5,488.1,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,SONACOMS,EQ,732.6,701.5,703.35,722.4,721.5,710.8,2386638,1714472425.15,764.5,488.1,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,SONACOMS,EQ,752.4,721.7,750.0,733.85,735.35,722.4,5450342,4001666654.3,764.5,488.1,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,SONACOMS,EQ,737.85,716.0,737.85,718.9,716.0,733.85,2095248,1510173919.5,764.5,488.1,2024-09-05T18:30:00.000Z
2024-09-08T18:30:00.000Z,SONACOMS,EQ,714.9,685.6,714.9,700.15,697.05,718.9,1527955,1065730257.4,764.5,488.1,2024-09-08T18:30:00.000Z
2024-09-09T18:30:00.000Z,SONACOMS,EQ,725.8,703.9,707.2,713.4,714.4,700.15,2571346,1831911716.0,764.5,488.1,2024-09-09T18:30:00.000Z
2024-09-10T18:30:00.000Z,SONACOMS,EQ,738.35,715.6,719.95,725.4,722.05,713.4,2358392,1722519470.3,764.5,488.1,2024-09-10T18:30:00.000Z
2024-09-11T18:30:00.000Z,SONACOMS,EQ,737.8,718.9,719.0,726.05,726.05,725.4,1373502,1001898524.35,764.5,488.1,2024-09-11T18:30:00.000Z
2024-09-12T18:30:00.000Z,SONACOMS,EQ,746.0,721.7,731.85,724.25,722.8,726.05,1394286,1023887113.75,764.5,488.1,2024-09-12T18:30:00.000Z
2024-09-15T18:30:00.000Z,SONACOMS,EQ,737.5,725.0,730.0,733.65,733.4,724.25,684524,501042952.7,764.5,488.1,2024-09-15T18:30:00.000Z
2024-09-16T18:30:00.000Z,SONACOMS,EQ,758.65,735.95,738.0,745.4,745.0,733.65,3270902,2441774962.85,764.5,488.1,2024-09-16T18:30:00.000Z
2024-09-17T18:30:00.000Z,SONACOMS,EQ,750.7,711.2,742.0,717.55,719.2,745.4,2317400,1676381761.5,764.5,488.1,2024-09-17T18:30:00.000Z
2024-09-18T18:30:00.000Z,SONACOMS,EQ,738.8,698.0,723.3,728.5,726.6,717.55,1576534,1134068358.75,764.5,488.1,2024-09-18T18:30:00.000Z
2024-09-19T18:30:00.000Z,SONACOMS,EQ,759.45,725.05,732.0,748.35,748.95,728.5,5302786,3956156729.9,764.5,488.1,2024-09-19T18:30:00.000Z
2024-09-22T18:30:00.000Z,SONACOMS,EQ,768.65,743.75,763.35,750.2,749.0,748.35,1628786,1228896062.45,768.65,488.1,2024-09-22T18:30:00.000Z
2024-09-23T18:30:00.000Z,SONACOMS,EQ,753.95,734.05,749.0,735.9,735.05,750.2,943870,696955542.95,768.65,488.1,2024-09-23T18:30:00.000Z
2024-09-24T18:30:00.000Z,SONACOMS,EQ,736.45,714.05,735.0,730.05,727.3,735.9,2492409,1795374509.9,768.65,488.1,2024-09-24T18:30:00.000Z
2024-09-25T18:30:00.000Z,SONACOMS,EQ,755.45,730.0,742.95,744.1,746.0,730.05,4039878,2990374002.15,768.65,488.1,2024-09-25T18:30:00.000Z
2024-09-26T18:30:00.000Z,SONACOMS,EQ,743.95,730.85,743.95,735.45,731.8,744.1,1177716,868112003.9,768.65,488.1,2024-09-26T18:30:00.000Z
2024-09-29T18:30:00.000Z,SONACOMS,EQ,746.3,728.65,734.0,743.4,739.0,735.45,864479,638340288.95,768.65,488.1,2024-09-29T18:30:00.000Z
2024-09-30T18:30:00.000Z,SONACOMS,EQ,745.7,728.15,742.0,731.05,729.95,743.4,1344430,983311032.8,768.65,488.1,2024-09-30T18:30:00.000Z
2024-10-02T18:30:00.000Z,SONACOMS,EQ,722.65,703.0,716.25,706.6,705.0,731.05,1381904,984907431.05,768.65,488.1,2024-10-02T18:30:00.000Z
2024-10-03T18:30:00.000Z,SONACOMS,EQ,711.0,686.55,711.0,696.8,695.0,706.6,1983326,1374753756.75,768.65,488.1,2024-10-03T18:30:00.000Z
2024-10-06T18:30:00.000Z,SONACOMS,EQ,694.5,664.3,694.0,675.45,676.95,696.8,3099047,2090236294.1,768.65,488.1,2024-10-06T18:30:00.000Z
2024-10-07T18:30:00.000Z,SONACOMS,EQ,680.95,666.15,668.6,673.45,674.0,675.45,1549976,1044276921.2,768.65,488.1,2024-10-07T18:30:00.000Z
2024-10-08T18:30:00.000Z,SONACOMS,EQ,694.0,670.6,682.0,673.1,672.2,673.45,1574020,1073942537.15,768.65,488.1,2024-10-08T18:30:00.000Z
2024-10-09T18:30:00.000Z,SONACOMS,EQ,682.0,665.0,675.0,670.8,668.9,673.1,2571951,1731583996.75,768.65,488.1,2024-10-09T18:30:00.000Z
2024-10-10T18:30:00.000Z,SONACOMS,EQ,677.0,661.5,675.0,665.1,664.45,670.8,761195,508240617.25,768.65,488.1,2024-10-10T18:30:00.000Z
2024-10-13T18:30:00.000Z,SONACOMS,EQ,668.25,656.6,666.65,660.1,660.7,665.1,1692063,1117389562.35,768.65,488.1,2024-10-13T18:30:00.000Z
2024-10-14T18:30:00.000Z,SONACOMS,EQ,669.95,655.2,665.95,656.8,656.0,660.1,1137736,750481199.45,768.65,488.1,2024-10-14T18:30:00.000Z
2024-10-15T18:30:00.000Z,SONACOMS,EQ,666.55,652.9,659.0,662.55,662.95,656.8,1224255,808538781.5,768.65,488.1,2024-10-15T18:30:00.000Z
2024-10-16T18:30:00.000Z,SONACOMS,EQ,665.4,643.2,663.55,648.6,650.5,662.55,2594238,1682613792.85,768.65,488.1,2024-10-16T18:30:00.000Z
2024-10-17T18:30:00.000Z,SONACOMS,EQ,653.7,635.0,648.6,637.3,637.65,648.6,1557380,993076250.45,768.65,488.1,2024-10-17T18:30:00.000Z
2024-10-20T18:30:00.000Z,SONACOMS,EQ,639.0,626.85,637.3,633.55,633.55,637.3,2147746,1360341032.75,768.65,488.1,2024-10-20T18:30:00.000Z
