datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,SRF,EQ,2404.7,2377.0,2390.25,2395.7,2399.95,2390.25,305636,731447246.75,2693.95,2040.0,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,SRF,EQ,2405.55,2376.05,2399.0,2394.6,2392.0,2395.7,250031,597735507.7,2693.95,2040.0,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,SRF,EQ,2415.95,2376.7,2394.0,2404.5,2405.5,2394.6,519892,1247228579.2,2693.95,2040.0,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,SRF,EQ,2410.0,2331.05,2410.0,2342.6,2335.0,2404.5,611272,1445366717.85,2693.95,2040.0,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,SRF,EQ,2375.0,2309.3,2315.0,2367.55,2361.1,2342.6,470369,1106760466.7,2693.95,2040.0,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,SRF,EQ,2394.0,2283.1,2378.9,2361.05,2353.0,2367.55,1467130,3458931129.85,2693.95,2040.0,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,SRF,EQ,2379.95,2317.25,2330.0,2367.65,2366.0,2361.05,1175151,2760231307.45,2693.95,2040.0,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,SRF,EQ,2412.0,2342.3,2345.0,2399.8,2400.0,2367.65,1150332,2749737399.35,2693.95,2040.0,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,SRF,EQ,2476.0,2400.0,2405.15,2456.15,2459.0,2399.8,1359673,3317414524.75,2693.95,2040.0,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,SRF,EQ,2543.5,2466.15,2471.85,2509.05,2513.0,2456.15,895078,2241628079.6,2693.95,2082.25,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,SRF,EQ,2563.3,2500.05,2510.05,2552.35,2552.0,2509.05,406480,1031731576.65,2693.95,2082.25,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,SRF,EQ,2659.0,2557.3,2560.0,2644.9,2645.0,2552.35,1734449,4572822919.55,2693.95,2082.25,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,SRF,EQ,2653.55,2601.45,2631.5,2624.9,2615.45,2644.9,810488,2124847494.95,2693.95,2082.25,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,SRF,EQ,2618.65,2514.15,2585.0,2522.8,2526.9,2624.9,460619,1184191898.05,2693.95,2082.25,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,SRF,EQ,2504.55,2418.0,2460.1,2473.0,2500.5,2522.8,1311990,3238710507.0,2693.95,2082.25,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,SRF,EQ,2555.0,2481.65,2497.15,2488.95,2481.65,2473.0,731638,1838772859.35,2693.95,2082.25,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,SRF,EQ,2595.75,2488.95,2507.0,2590.1,2591.85,2488.95,604727,1544186960.05,2693.95,2082.25,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,SRF,EQ,2615.0,2531.0,2615.0,2537.1,2547.0,2590.1,252629,649040043.9,2693.95,2082.25,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,SRF,EQ,2600.0,2538.0,2560.0,2553.65,2564.9,2537.1,243182,625026214.15,2693.95,2082.25,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,SRF,EQ,2583.95,2525.35,2553.55,2568.5,2565.0,2553.65,262274,672843859.65,2693.95,2082.25,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,SRF,EQ,2592.2,2512.2,2592.2,2521.05,2519.0,2568.5,337336,857792740.1,2693.95,2082.25,2024-08-12T18:30:00.000Z
