datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,SUMICHEM,EQ,509.45,493.75,507.0,502.5,503.0,502.6,482622,241249753.35,517.7,336.1,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,SUMICHEM,EQ,509.0,496.35,503.9,498.4,501.0,502.5,423712,212231069.85,517.7,336.1,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,SUMICHEM,EQ,507.2,495.85,498.05,505.2,505.0,498.4,651863,328259187.0,517.7,336.1,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,SUMICHEM,EQ,509.9,495.7,509.2,499.1,496.9,505.2,704260,354117843.4,517.7,336.1,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,SUMICHEM,EQ,522.5,487.35,495.95,517.6,516.0,499.1,1933670,991333838.8,522.5,336.1,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,SUMICHEM,EQ,523.5,488.55,517.9,517.7,514.0,517.6,847996,435294769.85,523.5,336.1,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,SUMICHEM,EQ,515.95,498.05,510.0,499.9,501.0,517.7,353061,178495475.15,523.5,336.1,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,SUMICHEM,EQ,508.75,495.0,499.9,497.95,498.0,499.9,309181,154998997.55,523.5,336.1,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,SUMICHEM,EQ,516.0,499.05,499.5,504.45,503.7,497.95,499144,253610217.3,523.5,336.1,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,SUMICHEM,EQ,540.45,518.05,534.15,533.75,533.1,504.45,2895425,1534068931.65,540.45,336.1,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,SUMICHEM,EQ,535.5,516.45,533.75,518.2,520.0,533.75,442634,232739198.75,540.45,336.1,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,SUMICHEM,EQ,546.9,516.65,520.0,518.75,519.85,518.2,1947359,1037236706.25,546.9,336.1,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,SUMICHEM,EQ,525.6,508.75,520.75,513.65,514.0,518.75,468895,242683284.4,546.9,336.1,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,SUMICHEM,EQ,517.15,506.75,509.0,510.65,512.0,513.65,910323,466617213.75,546.9,336.1,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,SUMICHEM,EQ,512.3,488.85,504.95,493.45,492.6,510.65,791932,396274368.75,546.9,336.1,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,SUMICHEM,EQ,514.0,490.9,495.35,492.8,492.5,493.45,593923,299004020.2,546.9,336.1,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,SUMICHEM,EQ,510.3,491.1,497.5,505.0,505.0,492.8,1916583,951575348.1,546.9,336.1,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,SUMICHEM,EQ,520.5,504.45,505.0,509.95,509.1,505.0,517098,265779898.35,546.9,336.1,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,SUMICHEM,EQ,527.4,512.1,512.1,516.4,519.0,509.95,584246,304220090.7,546.9,336.1,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,SUMICHEM,EQ,539.0,508.35,516.4,537.15,536.65,516.4,1072956,571441743.1,546.9,336.1,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,SUMICHEM,EQ,545.95,524.0,539.65,526.6,527.0,537.15,782397,418292799.8,546.9,336.1,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,SUMICHEM,EQ,548.95,524.25,531.85,536.4,535.0,526.6,1135044,612501993.75,548.95,336.1,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,SUMICHEM,EQ,546.1,524.7,538.0,538.35,537.1,536.4,597140,319752677.75,548.95,336.1,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,SUMICHEM,EQ,541.9,528.3,539.0,530.1,531.8,538.35,212047,113183462.9,548.95,336.1,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,SUMICHEM,EQ,543.0,530.7,533.65,536.75,536.7,530.1,302629,162749123.35,548.95,336.1,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,SUMICHEM,EQ,548.0,535.65,538.8,543.75,544.0,536.75,427013,231583459.45,548.95,336.1,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,SUMICHEM,EQ,567.35,540.1,548.9,542.25,541.0,543.75,1992118,1105480161.05,567.35,336.1,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,SUMICHEM,EQ,543.45,530.0,542.25,532.45,531.95,542.25,269370,144803465.65,567.35,336.1,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,SUMICHEM,EQ,534.9,522.3,532.45,524.0,523.7,532.45,236119,124519942.55,567.35,336.1,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,SUMICHEM,EQ,542.3,525.05,525.05,529.4,529.7,524.0,541227,288862995.5,567.35,336.1,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,SUMICHEM,EQ,546.45,527.65,532.0,529.95,530.25,529.4,480407,257963339.75,567.35,336.1,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,SUMICHEM,EQ,537.3,522.05,532.0,524.8,524.6,529.95,366321,192980085.85,567.35,336.1,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,SUMICHEM,EQ,530.0,507.05,529.9,511.35,511.0,524.8,604001,311562564.05,567.35,336.1,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,SUMICHEM,EQ,523.9,511.15,513.0,512.45,513.0,511.35,419609,216880973.4,567.35,336.1,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,SUMICHEM,EQ,519.15,506.0,513.9,507.35,506.75,512.45,332546,169821652.0,567.35,336.1,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,SUMICHEM,EQ,526.6,501.35,506.35,519.35,519.0,507.35,698743,362992887.6,567.35,336.1,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,SUMICHEM,EQ,528.8,513.1,522.35,516.95,517.9,519.35,442790,229930725.55,567.35,336.1,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,SUMICHEM,EQ,548.3,519.2,521.0,538.25,538.3,516.95,2276632,1225365771.1,567.35,336.1,2024-09-05T18:30:00.000Z
2024-09-08T18:30:00.000Z,SUMICHEM,EQ,539.0,523.1,538.25,531.8,531.05,538.25,427965,227532412.2,567.35,336.1,2024-09-08T18:30:00.000Z
2024-09-09T18:30:00.000Z,SUMICHEM,EQ,628.3,533.0,533.65,608.85,611.5,531.8,9638799,5653627039.7,628.3,336.1,2024-09-09T18:30:00.000Z
2024-09-10T18:30:00.000Z,SUMICHEM,EQ,609.85,576.65,604.0,581.0,579.5,608.85,2629564,1551567996.2,628.3,336.1,2024-09-10T18:30:00.000Z
2024-09-11T18:30:00.000Z,SUMICHEM,EQ,596.6,571.0,583.7,591.6,591.8,581.0,1345083,787297977.9,628.3,336.1,2024-09-11T18:30:00.000Z
2024-09-12T18:30:00.000Z,SUMICHEM,EQ,602.1,580.3,593.0,591.8,591.8,591.6,919031,542926707.85,628.3,336.1,2024-09-12T18:30:00.000Z
2024-09-15T18:30:00.000Z,SUMICHEM,EQ,600.0,581.1,593.45,592.35,590.0,591.8,420905,248145182.35,628.3,336.1,2024-09-15T18:30:00.000Z
2024-09-16T18:30:00.000Z,SUMICHEM,EQ,628.0,581.2,593.15,613.5,611.0,592.35,3134732,1930816574.7,628.3,336.1,2024-09-16T18:30:00.000Z
2024-09-17T18:30:00.000Z,SUMICHEM,EQ,615.6,594.05,614.9,601.05,600.0,613.5,482497,291034321.1,628.3,336.1,2024-09-17T18:30:00.000Z
2024-09-18T18:30:00.000Z,SUMICHEM,EQ,606.0,572.85,604.0,586.5,586.4,601.05,581323,340258954.8,628.3,336.1,2024-09-18T18:30:00.000Z
2024-09-19T18:30:00.000Z,SUMICHEM,EQ,591.7,554.2,586.5,558.9,557.8,586.5,1555427,882584749.4,628.3,336.1,2024-09-19T18:30:00.000Z
2024-09-22T18:30:00.000Z,SUMICHEM,EQ,573.7,553.45,563.0,566.7,567.8,558.9,957335,540042360.65,628.3,336.1,2024-09-22T18:30:00.000Z
2024-09-23T18:30:00.000Z,SUMICHEM,EQ,574.9,559.0,572.2,563.6,559.5,566.7,761250,432126244.4,628.3,336.1,2024-09-23T18:30:00.000Z
2024-09-24T18:30:00.000Z,SUMICHEM,EQ,569.9,553.0,563.5,554.8,555.0,563.6,276483,154121674.35,628.3,336.1,2024-09-24T18:30:00.000Z
2024-09-25T18:30:00.000Z,SUMICHEM,EQ,557.05,545.2,556.4,548.65,548.95,554.8,232938,127844854.45,628.3,336.1,2024-09-25T18:30:00.000Z
2024-09-26T18:30:00.000Z,SUMICHEM,EQ,568.5,546.1,548.65,560.1,557.85,548.65,1251155,698922193.15,628.3,336.1,2024-09-26T18:30:00.000Z
2024-09-29T18:30:00.000Z,SUMICHEM,EQ,562.8,550.05,553.25,556.8,555.05,560.1,217552,120863938.8,628.3,336.1,2024-09-29T18:30:00.000Z
2024-09-30T18:30:00.000Z,SUMICHEM,EQ,577.25,557.0,557.9,565.7,566.0,556.8,728278,413872536.95,628.3,336.1,2024-09-30T18:30:00.000Z
2024-10-02T18:30:00.000Z,SUMICHEM,EQ,564.8,543.95,560.0,548.5,549.5,565.7,315162,174597553.4,628.3,336.1,2024-10-02T18:30:00.000Z
2024-10-03T18:30:00.000Z,SUMICHEM,EQ,562.7,539.4,555.0,550.55,551.4,548.5,379573,209617672.05,628.3,336.1,2024-10-03T18:30:00.000Z
2024-10-06T18:30:00.000Z,SUMICHEM,EQ,554.3,518.9,552.0,521.65,523.8,550.55,309646,164057872.15,628.3,336.1,2024-10-06T18:30:00.000Z
