datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,SUZLON,EQ,55.0,54.02,55.0,54.62,54.5,54.63,27141448,1477407738.02,56.49,17.45,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,SUZLON,EQ,56.0,54.43,54.9,55.88,55.72,54.62,76577863,4239395874.08,56.49,17.45,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,SUZLON,EQ,55.72,53.82,55.5,55.39,55.33,55.88,68196637,3762889026.37,56.49,17.45,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,SUZLON,EQ,55.87,53.82,55.38,54.55,54.5,55.39,52178598,2852746566.8,56.49,17.45,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,SUZLON,EQ,55.44,53.5,54.66,55.08,55.24,54.55,47805246,2601025304.21,56.49,17.45,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,SUZLON,EQ,57.83,54.0,57.2,57.83,57.83,55.08,281887693,16218930583.71,57.83,17.45,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,SUZLON,EQ,60.72,59.63,59.7,60.72,60.72,57.83,90757700,5495932089.21,60.72,17.45,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,SUZLON,EQ,63.75,60.8,62.29,61.47,62.01,60.72,170325709,10684866841.47,63.75,17.45,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,SUZLON,EQ,63.0,61.0,62.68,61.89,62.1,61.47,67858407,4220083672.75,63.75,17.45,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,SUZLON,EQ,64.98,62.38,62.95,64.98,64.98,61.89,97886927,6255796685.57,64.98,17.7,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,SUZLON,EQ,68.22,65.63,65.81,68.22,68.22,64.98,114489676,7760549782.89,68.22,17.7,2024-07-29T18:30:00.000Z
