datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,SWSOLAR,EQ,709.8,690.0,698.0,695.9,695.0,690.85,666365,466387605.55,828,253.0,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,SWSOLAR,EQ,707.0,683.7,700.0,693.6,693.0,695.9,881737,609928754.75,828,253.0,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,SWSOLAR,EQ,717.8,661.0,698.45,676.6,679.9,693.6,3687102,2547055092.35,828,253.0,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,SWSOLAR,EQ,702.0,642.8,702.0,642.8,642.8,676.6,2420660,1611969587.5,828,253.0,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,SWSOLAR,EQ,668.0,624.4,630.2,663.0,663.9,642.8,998385,655448287.7,828,253.0,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,SWSOLAR,EQ,683.0,630.0,670.15,658.55,659.95,663.0,1812822,1197404929.1,828,253.0,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,SWSOLAR,EQ,678.0,654.0,662.0,667.9,667.05,658.55,892415,594282451.15,828,253.0,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,SWSOLAR,EQ,672.0,653.0,662.0,656.35,658.25,667.9,465356,308089880.0,828,253.0,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,SWSOLAR,EQ,689.15,657.1,659.95,686.35,685.9,656.35,2702709,1845994513.2,828,253.0,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,SWSOLAR,EQ,704.0,671.0,694.0,680.2,680.3,686.35,1615910,1099683139.0,828,253.0,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,SWSOLAR,EQ,696.0,676.45,681.95,683.6,685.9,680.2,931922,637890022.8,828,253.0,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,SWSOLAR,EQ,702.65,685.0,687.0,687.75,688.45,683.6,792693,548633761.05,828,253.0,2024-07-30T18:30:00.000Z
