datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,SYMPHONY,EQ,1150.0,1111.2,1118.55,1143.5,1131.0,1118.5,42190,47711859.25,1290.0,820,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,SYMPHONY,EQ,1179.8,1131.0,1131.0,1168.3,1161.5,1143.5,95042,110805402.3,1290.0,820,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,SYMPHONY,EQ,1196.25,1137.0,1170.9,1144.95,1145.5,1168.3,75023,86984228.3,1290.0,820,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,SYMPHONY,EQ,1150.0,1087.15,1150.0,1094.75,1094.0,1144.95,62146,69185954.15,1290.0,820,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,SYMPHONY,EQ,1114.9,1075.55,1080.0,1109.75,1110.0,1094.75,50989,56319096.75,1290.0,820,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,SYMPHONY,EQ,1118.5,1063.6,1118.5,1095.5,1108.0,1109.75,52613,57584822.05,1290.0,820,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,SYMPHONY,EQ,1135.3,1095.5,1100.0,1132.95,1130.0,1095.5,41434,46459860.7,1290.0,820,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,SYMPHONY,EQ,1188.55,1125.0,1134.0,1181.8,1180.0,1132.95,97196,113601466.1,1290.0,820,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,SYMPHONY,EQ,1185.45,1158.0,1179.9,1162.65,1172.0,1181.8,43597,51153417.3,1290.0,820,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,SYMPHONY,EQ,1182.6,1159.4,1162.65,1178.45,1180.0,1162.65,41475,48638244.15,1290.0,820,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,SYMPHONY,EQ,1224.0,1178.45,1178.45,1213.2,1214.0,1178.45,117933,142589109.45,1290.0,820,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,SYMPHONY,EQ,1219.3,1186.0,1219.0,1191.0,1195.0,1213.2,62452,74827147.25,1290.0,820,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,SYMPHONY,EQ,1225.0,1189.9,1202.8,1219.8,1219.0,1191.0,82229,99749870.95,1290.0,820,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,SYMPHONY,EQ,1278.85,1234.0,1235.95,1241.5,1242.0,1219.8,283503,355062090.85,1290.0,820,2024-08-01T18:30:00.000Z
