datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,SYNGENE,EQ,755.8,742.0,742.2,744.55,745.55,742.2,942601,705706045.95,860.25,607.65,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,SYNGENE,EQ,753.5,742.5,743.6,752.0,752.5,744.55,623458,466903590.9,860.25,607.65,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,SYNGENE,EQ,768.9,745.7,749.75,766.5,768.75,752.0,1084841,822228125.0,860.25,607.65,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,SYNGENE,EQ,765.0,740.05,765.0,750.1,750.9,766.5,1723626,1301631479.9,860.25,607.65,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,SYNGENE,EQ,763.8,742.55,749.85,753.05,752.0,750.1,631311,474724530.4,860.25,607.65,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,SYNGENE,EQ,761.0,740.05,753.05,757.75,755.0,753.05,650757,487228686.05,860.25,607.65,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,SYNGENE,EQ,763.85,732.1,759.35,745.75,758.0,757.75,1580848,1180382759.4,860.25,607.65,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,SYNGENE,EQ,798.3,736.6,736.6,786.8,792.6,745.75,3470880,2646898185.0,860.25,607.65,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,SYNGENE,EQ,820.8,780.0,787.5,782.8,783.5,786.8,2327035,1868103249.75,860.25,607.65,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,SYNGENE,EQ,798.65,784.25,786.0,796.25,795.95,782.8,458228,363302328.8,860.25,607.65,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,SYNGENE,EQ,802.45,784.95,797.65,793.7,794.8,796.25,409536,325481878.1,860.25,607.65,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,SYNGENE,EQ,815.0,795.5,795.5,807.8,804.35,793.7,842176,679657341.15,860.25,607.65,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,SYNGENE,EQ,835.0,807.75,807.8,828.5,826.85,807.8,1484884,1226615569.75,860.25,607.65,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,SYNGENE,EQ,828.0,817.6,823.45,820.75,819.5,828.5,360858,296782506.8,860.25,607.65,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,SYNGENE,EQ,819.5,796.95,800.0,800.7,802.6,820.75,938567,756117944.4,860.25,607.65,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,SYNGENE,EQ,826.5,803.95,805.5,820.95,820.9,800.7,700328,575095229.9,860.25,607.65,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,SYNGENE,EQ,853.75,821.15,828.5,850.35,851.0,820.95,969209,816345418.25,860.25,607.65,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,SYNGENE,EQ,874.55,838.85,854.25,841.35,840.1,850.35,1452895,1248366361.1,874.55,607.65,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,SYNGENE,EQ,850.8,792.35,792.35,840.45,834.1,841.35,868201,729488868.35,874.55,607.65,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,SYNGENE,EQ,839.25,822.4,833.0,824.8,823.85,840.45,928690,770772394.25,874.55,607.65,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,SYNGENE,EQ,832.0,821.6,825.7,825.25,823.1,824.8,439113,362540509.8,874.55,607.65,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,SYNGENE,EQ,826.2,806.55,825.0,815.75,812.65,825.25,706866,574700954.8,874.55,607.65,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,SYNGENE,EQ,834.6,818.2,818.2,830.95,830.05,815.75,333284,275259488.4,874.55,607.65,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,SYNGENE,EQ,834.9,820.0,830.95,824.95,822.3,830.95,206364,170392660.1,874.55,607.65,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,SYNGENE,EQ,839.7,818.55,824.95,829.25,828.0,824.95,861079,712397986.65,874.55,607.65,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,SYNGENE,EQ,839.9,827.2,830.3,834.1,835.0,829.25,337366,281308114.65,874.55,607.65,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,SYNGENE,EQ,848.9,831.55,835.25,842.05,843.45,834.1,501402,422224564.5,874.55,607.65,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,SYNGENE,EQ,850.0,835.05,846.5,842.55,843.0,842.05,652287,549667103.15,874.55,607.65,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,SYNGENE,EQ,861.9,841.35,845.0,853.5,852.15,842.55,759791,647673881.35,874.55,607.65,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,SYNGENE,EQ,862.25,823.75,855.4,826.3,827.9,853.5,737791,620272519.4,874.55,607.65,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,SYNGENE,EQ,847.0,826.05,832.0,843.7,841.5,826.3,521949,437221727.4,874.55,607.65,2024-08-27T18:30:00.000Z
