datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,TANLA,EQ,1086.45,975.0,975.05,998.0,1006.9,952.8,12715826,13268828129.4,1317.95,782.05,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,TANLA,EQ,1026.0,987.05,1008.0,1003.05,1002.5,998.0,2335185,2353954525.5,1317.95,782.05,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,TANLA,EQ,1027.0,983.0,999.0,993.05,993.45,1003.05,904408,902506916.95,1317.95,782.05,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,TANLA,EQ,1035.0,961.6,1021.0,970.1,962.0,993.05,1447885,1433434846.25,1317.95,782.05,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,TANLA,EQ,981.85,940.5,959.7,967.65,963.0,970.1,902324,868585231.5,1317.95,782.05,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,TANLA,EQ,966.0,920.1,965.0,943.1,944.0,967.65,643194,611545649.65,1317.95,782.05,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,TANLA,EQ,958.5,933.55,947.0,949.0,948.5,943.1,317919,302122086.4,1317.95,782.05,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,TANLA,EQ,954.95,940.0,940.0,945.8,949.35,949.0,231853,219436793.55,1317.95,782.05,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,TANLA,EQ,972.0,946.5,946.95,960.95,964.0,945.8,555594,532734695.85,1317.95,782.05,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,TANLA,EQ,978.35,957.0,965.0,960.8,961.0,960.95,304866,294254818.5,1248.0,782.05,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,TANLA,EQ,975.0,954.7,958.5,967.7,970.1,960.8,495433,478689520.8,1248.0,782.05,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,TANLA,EQ,1012.8,970.0,970.1,993.15,993.5,967.7,3837407,3814874886.2,1248.0,782.05,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,TANLA,EQ,1003.95,969.0,1000.0,977.5,981.7,993.15,728322,714696331.7,1248.0,782.05,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,TANLA,EQ,996.0,956.65,960.1,980.4,985.5,977.5,842885,823869797.95,1248.0,782.05,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,TANLA,EQ,959.95,908.9,950.0,912.65,914.0,980.4,1175416,1096279415.35,1248.0,782.05,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,TANLA,EQ,937.5,869.0,920.0,891.2,889.0,912.65,674411,616717041.2,1248.0,782.05,2024-08-05T18:30:00.000Z
