datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,TRIDENT,EQ,37.97,37.41,37.88,37.67,37.75,37.71,7203094,271195574.02,52.9,31.6,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,TRIDENT,EQ,38.57,37.65,37.68,37.98,38.0,37.67,9700301,370272269.93,52.9,31.6,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,TRIDENT,EQ,38.16,37.25,38.05,37.56,37.7,37.98,6910802,259803173.12,52.9,31.6,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,TRIDENT,EQ,37.86,36.88,37.81,36.98,36.98,37.56,6855079,254504916.74,52.9,31.6,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,TRIDENT,EQ,37.5,36.47,36.8,37.24,37.24,36.98,5859430,217328306.14,52.9,31.6,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,TRIDENT,EQ,37.59,36.2,37.5,36.97,37.02,37.24,9069938,336145592.96,52.9,31.6,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,TRIDENT,EQ,37.79,36.9,36.97,37.45,37.46,36.97,7023960,263118657.39,52.9,31.6,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,TRIDENT,EQ,38.48,37.1,37.4,37.36,37.39,37.45,13873757,524359580.82,52.9,31.6,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,TRIDENT,EQ,38.44,37.05,37.5,37.75,37.72,37.36,13083447,495003309.43,52.9,31.6,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,TRIDENT,EQ,39.11,38.1,38.25,38.19,38.31,37.75,18759498,723996301.16,52.9,31.65,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,TRIDENT,EQ,41.25,37.97,38.31,40.78,40.81,38.19,113718567,4580263650.49,52.9,31.65,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,TRIDENT,EQ,41.45,39.25,41.09,39.38,39.39,40.78,42405480,1695604698.92,52.9,31.65,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,TRIDENT,EQ,39.68,38.31,39.64,38.42,38.48,39.38,16680980,646828097.69,52.9,31.65,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,TRIDENT,EQ,38.4,37.7,38.0,38.21,38.31,38.42,11198818,427137659.84,52.9,31.65,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,TRIDENT,EQ,37.61,36.4,37.1,36.63,36.74,38.21,17105158,631021235.08,52.9,31.8,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,TRIDENT,EQ,39.75,37.0,37.0,37.71,37.98,36.63,58679431,2268890481.28,52.9,31.8,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,TRIDENT,EQ,39.25,38.13,39.18,38.84,38.8,37.71,19614446,757370174.58,52.9,31.8,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,TRIDENT,EQ,38.74,37.79,37.88,38.01,37.98,38.84,12607945,482384792.05,52.9,31.8,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,TRIDENT,EQ,38.6,37.6,38.59,37.88,37.93,38.01,8067085,307380152.17,52.9,31.8,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,TRIDENT,EQ,37.8,36.93,37.7,37.46,37.54,37.88,8757033,327554687.7,52.9,32.25,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,TRIDENT,EQ,37.79,37.0,37.55,37.09,37.2,37.46,8330345,311411540.48,52.9,32.25,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,TRIDENT,EQ,37.2,36.6,37.1,36.83,36.84,37.09,7966373,293536419.79,52.9,32.25,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,TRIDENT,EQ,37.35,36.95,37.23,37.09,37.12,36.83,4735354,175885735.53,52.9,32.25,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,TRIDENT,EQ,37.44,37.09,37.09,37.18,37.29,37.09,5295904,197238423.05,52.9,32.4,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,TRIDENT,EQ,37.89,37.17,37.45,37.27,37.31,37.18,5517356,206758496.44,52.9,32.4,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,TRIDENT,EQ,38.34,37.24,37.29,37.92,37.98,37.27,12429670,470754109.26,52.9,32.4,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,TRIDENT,EQ,38.49,38.0,38.34,38.03,38.03,37.92,6947269,265128999.25,52.9,32.4,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,TRIDENT,EQ,38.32,37.64,38.32,37.74,37.72,38.03,5822225,220997565.49,52.9,32.4,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,TRIDENT,EQ,37.99,37.32,37.99,37.41,37.47,37.74,5098106,191937076.68,52.9,32.4,2024-08-25T18:30:00.000Z
