datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,TRITURBINE,EQ,639.0,626.1,632.95,634.8,635.0,630.75,172361,109079336.25,676.1,312,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,TRITURBINE,EQ,645.0,631.0,642.0,641.9,641.0,634.8,248298,158355549.85,676.1,312,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,TRITURBINE,EQ,660.0,616.2,641.9,621.65,619.1,641.9,681763,433061714.1,676.1,312,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,TRITURBINE,EQ,615.8,592.65,610.0,596.35,594.05,621.65,316489,190626495.85,676.1,312,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,TRITURBINE,EQ,608.45,587.95,596.0,603.8,602.15,596.35,256162,154075360.25,676.1,312,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,TRITURBINE,EQ,610.65,580.05,607.45,590.55,588.0,603.8,424957,253541372.3,676.1,312,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,TRITURBINE,EQ,615.0,588.0,590.55,610.2,610.5,590.55,253672,153056205.6,676.1,312,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,TRITURBINE,EQ,612.0,603.9,610.0,606.5,608.55,610.2,115204,70036596.25,676.1,312,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,TRITURBINE,EQ,617.75,603.05,609.5,608.9,607.45,606.5,178492,109200119.8,676.1,312,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,TRITURBINE,EQ,614.9,606.0,609.1,607.2,608.3,608.9,214206,130501336.45,676.1,312,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,TRITURBINE,EQ,618.15,598.8,607.2,602.1,603.4,607.2,462871,280968551.9,676.1,312,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,TRITURBINE,EQ,629.5,591.0,606.9,594.6,597.0,602.1,1186422,725572987.55,676.1,312,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,TRITURBINE,EQ,608.8,582.35,597.4,604.55,604.0,594.6,588302,351948294.5,676.1,312,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,TRITURBINE,EQ,610.0,591.65,602.0,607.7,608.0,604.55,375122,226470060.15,676.1,312,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,TRITURBINE,EQ,599.95,580.4,587.95,595.65,599.8,607.7,343654,204188970.0,676.1,312,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,TRITURBINE,EQ,642.25,610.55,625.0,619.45,618.0,595.65,3501793,2191587486.7,676.1,312,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,TRITURBINE,EQ,668.0,628.65,630.0,638.5,638.95,619.45,3167215,2049573081.7,676.1,312,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,TRITURBINE,EQ,712.0,638.0,640.0,688.15,711.9,638.5,10380297,7050031443.65,712.0,312,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,TRITURBINE,EQ,724.6,671.85,719.0,695.7,693.0,688.15,5133088,3587908905.2,724.6,312,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,TRITURBINE,EQ,707.45,680.0,693.75,700.65,703.0,695.7,1745759,1210981217.6,724.6,312,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,TRITURBINE,EQ,838.0,703.0,703.3,787.05,787.3,700.65,21252689,16749581992.35,838.0,312,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,TRITURBINE,EQ,843.95,754.2,791.0,798.0,794.0,787.05,14218509,11434304188.85,843.95,312,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,TRITURBINE,EQ,816.0,765.05,790.0,810.0,811.95,798.0,2952650,2350380459.5,843.95,312,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,TRITURBINE,EQ,814.9,782.0,813.05,789.85,789.1,810.0,763738,605840052.85,843.95,312,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,TRITURBINE,EQ,793.8,772.0,789.85,788.65,785.0,789.85,558414,437896657.6,843.95,312,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,TRITURBINE,EQ,786.8,745.2,785.65,768.1,760.0,788.65,1202256,923361311.1,843.95,312,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,TRITURBINE,EQ,766.0,745.0,761.0,755.85,753.7,768.1,773210,582747240.85,843.95,312,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,TRITURBINE,EQ,760.6,724.6,759.1,729.6,731.0,755.85,623489,458649799.85,843.95,312,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,TRITURBINE,EQ,739.7,718.0,739.7,720.15,720.0,729.6,490486,355910242.95,843.95,312,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,TRITURBINE,EQ,761.9,719.45,725.05,749.95,749.0,720.15,2588003,1919178869.75,843.95,312,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,TRITURBINE,EQ,761.8,730.0,751.0,732.3,733.9,749.95,1538475,1149595869.25,843.95,312,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,TRITURBINE,EQ,738.8,715.55,732.05,719.85,719.9,732.3,585196,425039970.6,843.95,312,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,TRITURBINE,EQ,728.0,710.55,715.15,720.15,721.1,719.85,770306,553404494.35,843.95,312,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,TRITURBINE,EQ,746.9,722.1,729.95,732.8,732.0,720.15,1144204,843351462.35,843.95,312,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,TRITURBINE,EQ,768.35,735.0,736.85,762.25,763.0,732.8,2453391,1851306100.2,843.95,312,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,TRITURBINE,EQ,782.0,755.4,762.0,765.6,764.0,762.25,1382930,1063542268.25,843.95,312,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,TRITURBINE,EQ,783.5,754.0,768.05,757.25,760.0,765.6,819562,629697536.05,843.95,312,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,TRITURBINE,EQ,761.4,741.0,761.0,745.9,750.0,757.25,543135,406092340.55,843.95,312,2024-09-05T18:30:00.000Z
2024-09-08T18:30:00.000Z,TRITURBINE,EQ,756.95,731.55,736.05,746.7,746.25,745.9,366985,272674525.9,843.95,312,2024-09-08T18:30:00.000Z
2024-09-09T18:30:00.000Z,TRITURBINE,EQ,753.75,730.8,746.0,747.3,743.85,746.7,568160,420547426.15,843.95,312,2024-09-09T18:30:00.000Z
2024-09-10T18:30:00.000Z,TRITURBINE,EQ,762.2,743.85,751.95,753.8,754.0,747.3,431907,325814408.65,843.95,312,2024-09-10T18:30:00.000Z
2024-09-11T18:30:00.000Z,TRITURBINE,EQ,777.95,750.0,763.0,758.45,756.7,753.8,437096,332981938.35,843.95,312,2024-09-11T18:30:00.000Z
2024-09-12T18:30:00.000Z,TRITURBINE,EQ,790.95,760.0,765.0,764.25,760.0,758.45,1438094,1116981975.65,843.95,312,2024-09-12T18:30:00.000Z
2024-09-15T18:30:00.000Z,TRITURBINE,EQ,801.45,772.05,772.45,787.5,786.9,764.25,1608157,1266183409.2,843.95,312,2024-09-15T18:30:00.000Z
2024-09-16T18:30:00.000Z,TRITURBINE,EQ,790.0,730.3,790.0,736.35,739.65,787.5,1204333,904623598.6,843.95,312,2024-09-16T18:30:00.000Z
2024-09-17T18:30:00.000Z,TRITURBINE,EQ,751.85,733.5,741.2,742.65,735.95,736.35,625871,464601530.9,843.95,312,2024-09-17T18:30:00.000Z
2024-09-18T18:30:00.000Z,TRITURBINE,EQ,751.75,723.5,742.5,741.0,743.0,742.65,508619,374189525.6,843.95,312,2024-09-18T18:30:00.000Z
2024-09-19T18:30:00.000Z,TRITURBINE,EQ,753.75,726.9,742.5,732.15,730.0,741.0,619241,456421263.7,843.95,312,2024-09-19T18:30:00.000Z
2024-09-22T18:30:00.000Z,TRITURBINE,EQ,748.0,732.15,735.95,737.3,737.0,732.15,452746,335193984.1,843.95,312,2024-09-22T18:30:00.000Z
2024-09-23T18:30:00.000Z,TRITURBINE,EQ,747.9,729.0,741.05,730.05,731.5,737.3,458665,337900956.1,843.95,312,2024-09-23T18:30:00.000Z
2024-09-24T18:30:00.000Z,TRITURBINE,EQ,736.45,708.15,733.65,713.25,713.0,730.05,450520,324037990.15,843.95,312,2024-09-24T18:30:00.000Z
2024-09-25T18:30:00.000Z,TRITURBINE,EQ,733.75,708.1,716.8,711.5,710.95,713.25,781886,565315971.6,843.95,312,2024-09-25T18:30:00.000Z
