datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,USHAMART,EQ,390.6,380.3,384.8,387.8,386.45,383.3,482053,186157734.05,427.8,252.8,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,USHAMART,EQ,394.0,386.0,390.45,391.9,390.15,387.8,934425,365103507.6,427.8,252.8,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,USHAMART,EQ,392.5,381.05,392.5,383.65,383.8,391.9,395033,152145363.65,427.8,252.8,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,USHAMART,EQ,385.2,366.45,383.2,369.6,368.75,383.65,785803,292314075.9,427.8,252.8,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,USHAMART,EQ,373.9,362.25,368.0,366.55,367.05,369.6,533040,196124904.45,427.8,252.8,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,USHAMART,EQ,371.95,350.25,369.95,361.6,362.65,366.55,1225727,443568042.5,427.8,252.8,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,USHAMART,EQ,374.15,359.1,361.5,361.65,362.9,361.6,762679,278677770.8,427.8,252.8,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,USHAMART,EQ,369.9,355.5,360.85,363.95,364.0,361.65,473697,172646209.85,427.8,252.8,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,USHAMART,EQ,375.4,358.4,365.0,372.6,372.25,363.95,1290310,475185042.1,427.8,252.8,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,USHAMART,EQ,379.9,365.65,375.45,370.95,371.15,372.6,1168328,433498638.2,427.8,252.8,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,USHAMART,EQ,379.35,368.0,374.2,376.35,376.85,370.95,966329,360575029.3,427.8,252.8,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,USHAMART,EQ,383.95,370.1,379.8,379.75,379.5,376.35,782349,295685589.35,427.8,252.8,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,USHAMART,EQ,387.0,378.8,379.75,380.95,379.0,379.75,685053,262508285.3,427.8,252.8,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,USHAMART,EQ,379.4,368.0,377.4,369.95,369.75,380.95,721449,268206031.25,427.8,252.8,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,USHAMART,EQ,364.8,345.7,364.8,348.85,349.1,369.95,995901,351467260.0,427.8,252.8,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,USHAMART,EQ,359.2,342.0,351.55,348.25,347.3,348.85,789727,274622150.55,427.8,252.8,2024-08-05T18:30:00.000Z
