datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,WELSPUNLIV,EQ,176.8,167.84,174.0,169.43,169.9,170.27,5935153,1023387775.14,178.79,97.75,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,WELSPUNLIV,EQ,175.0,169.81,170.15,174.27,174.4,169.43,3942040,683189154.31,178.79,97.75,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,WELSPUNLIV,EQ,177.25,167.03,174.0,175.87,176.4,174.27,10349033,1803496777.1,178.79,97.75,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,WELSPUNLIV,EQ,177.35,169.7,176.5,172.0,172.25,175.87,4902917,845855268.72,178.79,97.75,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,WELSPUNLIV,EQ,182.0,170.44,175.0,177.63,177.5,172.0,14328909,2552522863.34,182.0,99.05,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,WELSPUNLIV,EQ,179.41,165.1,179.0,173.63,174.38,177.63,5358508,924521158.45,182.0,99.05,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,WELSPUNLIV,EQ,181.7,173.24,174.0,177.06,176.85,173.63,12034007,2151646649.35,182.0,99.05,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,WELSPUNLIV,EQ,184.5,175.5,176.15,179.18,178.8,177.06,8215036,1488736659.09,184.5,99.05,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,WELSPUNLIV,EQ,186.0,179.6,180.25,182.73,183.4,179.18,6872529,1262051192.36,186.0,99.05,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,WELSPUNLIV,EQ,190.0,184.13,185.95,189.42,189.51,182.73,6897346,1293354005.41,190.0,100.55,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,WELSPUNLIV,EQ,191.0,184.51,191.0,185.56,186.4,189.42,3153054,593062936.89,191.0,100.55,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,WELSPUNLIV,EQ,187.6,183.0,186.98,183.53,183.9,185.56,2667359,493350295.11,191.0,100.55,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,WELSPUNLIV,EQ,190.6,182.25,184.09,186.8,186.29,183.53,6082308,1137927548.03,191.0,100.55,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,WELSPUNLIV,EQ,187.0,182.5,184.9,185.07,185.2,186.8,3012308,557424215.4,191.0,100.55,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,WELSPUNLIV,EQ,182.3,172.05,175.98,174.3,174.76,185.07,5874650,1037084975.0,191.0,112.6,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,WELSPUNLIV,EQ,193.7,176.0,176.0,180.09,181.99,174.3,26681117,5004356547.26,193.7,112.6,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,WELSPUNLIV,EQ,187.27,181.28,187.0,184.22,184.79,180.09,3593732,660618840.57,193.7,112.6,2024-08-06T18:30:00.000Z
