datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,YESBANK,EQ,26.8,25.1,25.65,26.38,26.37,25.6,394428177,10235628054.37,32.85,15.7,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,YESBANK,EQ,26.85,26.12,26.37,26.19,26.19,26.38,164346164,4327684637.31,32.85,15.7,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,YESBANK,EQ,26.3,25.67,26.0,25.75,25.78,26.19,187983764,4865118184.18,32.85,15.7,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,YESBANK,EQ,25.78,24.62,25.74,24.77,24.8,25.75,166847717,4201311435.06,32.85,15.7,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,YESBANK,EQ,26.19,25.22,25.9,25.67,25.62,24.77,332587313,8534480420.27,32.85,15.7,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,YESBANK,EQ,25.7,24.25,25.67,24.96,25.04,25.67,183384210,4595304856.31,32.85,15.7,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,YESBANK,EQ,25.18,24.74,24.95,24.9,24.94,24.96,134634530,3365492344.57,32.85,15.7,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,YESBANK,EQ,24.78,24.42,24.59,24.62,24.66,24.9,106791946,2629965704.71,32.85,15.7,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,YESBANK,EQ,25.11,24.65,24.67,24.97,24.94,24.62,120894253,3012164441.15,32.85,15.7,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,YESBANK,EQ,25.68,24.8,25.25,24.95,24.98,24.97,183181556,4606569684.32,32.85,15.7,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,YESBANK,EQ,26.07,24.88,24.94,25.71,25.84,24.95,275043147,7043532383.74,32.85,15.7,2024-07-29T18:30:00.000Z
