datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,ZOMATO,EQ,232.0,225.0,225.0,229.15,229.25,222.47,51203051,11657208295.86,232.0,76.5,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,ZOMATO,EQ,230.35,215.3,230.0,217.49,218.35,229.15,44681031,9911383121.86,232.0,76.5,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,ZOMATO,EQ,221.4,210.25,217.75,220.62,220.9,217.49,58537673,12647310638.54,232.0,76.5,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,ZOMATO,EQ,220.49,213.67,217.99,218.89,220.05,220.62,39257871,8522944421.91,232.0,76.5,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,ZOMATO,EQ,222.19,214.0,214.0,221.66,221.3,218.89,33701488,7432304552.57,232.0,79.3,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,ZOMATO,EQ,223.72,207.0,222.5,217.91,216.7,221.66,36589825,7950530270.71,232.0,79.3,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,ZOMATO,EQ,225.5,215.6,217.85,223.49,224.25,217.91,32358784,7160010235.16,232.0,79.3,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,ZOMATO,EQ,223.97,216.95,221.0,219.31,218.95,223.49,26124437,5770954197.65,232.0,79.3,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,ZOMATO,EQ,226.62,216.85,219.0,224.62,225.35,219.31,35693966,7901568227.02,232.0,79.3,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,ZOMATO,EQ,229.46,224.1,226.62,226.89,227.1,224.62,40644424,9224253180.38,232.0,81.6,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,ZOMATO,EQ,231.2,225.11,226.95,227.13,227.0,226.89,39378466,9000940431.0,232.0,81.6,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,ZOMATO,EQ,230.14,226.05,227.61,229.45,229.75,227.13,25009969,5718364662.46,232.0,81.6,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,ZOMATO,EQ,238.0,228.0,231.0,234.09,237.9,229.45,87888742,20479339298.22,238.0,81.6,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,ZOMATO,EQ,278.7,243.0,244.5,262.34,262.74,234.09,389060620,101688545337.29,278.7,81.6,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,ZOMATO,EQ,265.55,249.0,254.0,256.29,256.15,262.34,156106218,40274249100.73,278.7,88.3,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,ZOMATO,EQ,275.0,247.2,265.9,249.08,248.9,256.29,143459602,37389437330.51,278.7,88.3,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,ZOMATO,EQ,267.6,251.81,261.53,265.67,265.98,249.08,127379201,33328139758.3,278.7,88.3,2024-08-06T18:30:00.000Z
