ticker,close_price,st73_value,st72_value,DMA_200,DMA_10,datee
RELIANCE,1545.0,1508.4,1529.1,1397.32,1544.92,20251212
HDFCBANK,1000.3,969.5,978.7,957.55,999.08,20251212
SBIN,963.25,993.5,978.5,826.34,962.88,20251212
MARUTI,16248.0,15442.7,15687.8,13579.7,16106.8,20251212
SUNPHARMA,1807.2,1751.4,1774.4,1685.77,1803.37,20251212
KOTAKBANK,2180.2,2046.6,2087.1,2084.55,2141.98,20251212
TITAN,3844.8,3742.4,3909.4,3490.57,3842.64,20251212
ADANIENT,2277.7,2381.0,2323.2,2414.87,2240.56,20251212
BAJAJ-AUTO,9053.5,8691.9,8829.3,8412.0,9048.1,20251212
TATASTEEL,166.38,171.1,168.0,158.68,165.79,20251212
VEDL,529.05,501.8,536.4,442.72,526.53,20251212
HYUNDAI,2342.3,2443.2,2386.4,2101.3,2338.49,20251212
TVSMOTOR,3637.4,3459.5,3525.9,3010.06,3627.88,20251212
DIVISLAB,6430.0,6643.5,6530.1,6244.11,6406.15,20251212
ADANIGREEN,1018.8,1075.0,1048.5,981.81,1015.54,20251212
VBL,478.5,454.5,463.9,484.45,477.72,20251212
SHRIRAMFIN,847.15,811.4,865.1,669.05,842.31,20251212
MOTHERSON,119.8,109.4,112.3,98.68,117.14,20251212
CIPLA,1512.3,1554.1,1534.2,1505.84,1511.22,20251212
GODREJCP,1147.9,1090.6,1162.0,1177.17,1132.52,20251212
ABB,5242.5,4957.2,5047.0,5400.64,5156.95,20251212
BOSCHLTD,36880.0,38187.3,37471.5,34158.67,36610.5,20251212
DRREDDY,1273.5,1222.2,1241.5,1231.59,1266.46,20251212
LUPIN,2081.8,1995.1,2028.1,1976.99,2077.74,20251212
ASHOKLEY,160.33,148.0,152.5,124.45,159.94,20251212
SBICARD,873.2,917.2,899.6,881.08,872.31,20251212
PRESTIGE,1652.2,1776.6,1728.7,1524.03,1649.36,20251212
IDFCFIRSTB,80.61,77.1,78.5,69.92,80.51,20251212
BHARATFORG,1407.4,1351.4,1433.5,1217.39,1404.33,20251212
MRF,153560.0,158986.0,156679.8,140419.17,152930.0,20251212
COLPAL,2154.1,2218.3,2185.1,2332.96,2148.65,20251212
GLENMARK,1956.0,1850.9,1891.4,1751.39,1954.16,20251212
MPHASIS,2894.9,2776.1,2830.8,2638.55,2873.28,20251212
PIIND,3376.0,3502.4,3437.4,3685.91,3373.5,20251212
LINDEINDIA,5971.5,5673.7,6075.7,6395.67,5873.8,20251212
VOLTAS,1353.4,1409.5,1379.5,1340.91,1343.46,20251212
AIIL,2624.4,2774.7,2697.1,2489.95,2608.52,20251212
MAHABANK,57.45,55.5,59.5,53.54,57.18,20251212
JUBLFOOD,597.9,568.1,581.3,646.61,593.63,20251212
ANTHEM,687.1,596.0,622.9,nan,656.47,20251212
DALBHARAT,1987.1,2062.8,2026.9,2075.6,1986.19,20251212
APARINDS,8987.0,8479.2,9197.0,7742.42,8873.0,20251212
BLUESTARCO,1746.2,1833.5,1796.5,1829.64,1745.89,20251212
DELHIVERY,410.7,432.9,422.1,386.07,408.98,20251212
