ticker,close_price,DMA_200,DMA_10,datee,st73_value,st72_value
CHOICEIN,763.85,743.84,754.93,20260919,783.7,766.5
SHYAMMETL,1100.0,902.94,1073.9,20260919,999.8,1028.1
TBOTEK,1710.6,1428.82,1680.68,20260919,1550.3,1604.7
SBIN,996.2,1031.4,995.98,20260919,1033.7,1017.1
BAJFINANCE,1040.3,973.51,1038.21,20260919,1066.8,1048.8
LICI,407.7,407.72,403.83,20260919,413.2,386.5
DIVISLAB,9375.0,6898.15,9351.45,20260919,8858.0,9076.2
IRFC,81.5,100.09,80.86,20260919,83.1,81.7
LAURUSLABS,1954.0,1313.37,1927.0,20260919,1840.7,1883.5
DRREDDY,1185.0,1244.37,1153.52,20260919,1189.9,1142.7
UNOMINDA,1284.0,1165.52,1217.04,20260919,1136.8,1173.0
RBLBANK,415.9,338.63,411.3,20260919,390.6,399.6
MAHABANK,83.54,73.46,83.12,20260919,79.0,85.2
PIDILITIND,1572.1,1489.53,1563.13,20260919,1622.4,1592.9
TRENT,2824.0,2909.13,2796.43,20260919,2930.0,2873.8
POWERINDIA,32700.0,28150.67,31347.5,20260919,29127.9,30110.3
GAIL,173.9,164.57,173.51,20260919,166.1,168.5
MUTHOOTFIN,2841.1,3341.96,2840.34,20260919,2995.2,2916.2
CIPLA,1394.5,1377.32,1373.59,20260919,1410.4,1340.5
KEI,4650.0,4820.47,4608.3,20260919,4936.7,4795.2
