ticker,close_price,st72_value,DMA_200
BAJFINANCE,905.2,849.3,827.45
BAJAJFINSV,1993.5,1899.1,1859.56
TATAMOTORS,676.0,647.4,705.86
BAJAJ-AUTO,8588.5,8149.5,8346.07
ADANIPOWER,598.75,562.6,540.39
NESTLEIND,1144.1,1086.3,1135.4
GRASIM,2845.9,2698.5,2595.43
BAJAJHLDNG,14523.0,13564.0,12184.63
HDFCAMC,5717.0,5361.3,4413.03
DIXON,16756.0,15745.8,15497.6
HAVELLS,1552.6,1473.3,1568.18
ICICIPRULI,636.4,613.9,627.74
ASHOKLEY,131.76,120.5,112.89
ATGL,623.55,586.6,648.82
HDBFS,779.65,736.6,nan
JSL,747.4,688.0,655.76
BDL,1605.6,1484.2,1409.97
LTF,210.45,197.3,161.37
BIOCON,364.3,339.3,350.75
VOLTAS,1349.2,1263.6,1428.8
DALBHARAT,2330.8,2233.3,1926.15
ESCORTS,3623.8,3369.3,3316.72
ENDURANCE,2788.4,2530.2,2225.56
M&MFIN,266.4,250.0,263.51
CHOLAHLDNG,1935.5,1803.4,1725.54
CENTRALBK,36.64,35.5,44.36
ASTERDM,624.5,582.8,508.78
APOLLOTYRE,464.45,418.6,456.83
TVSHLTD,12247.0,10981.5,10331.85
CHALET,960.6,874.8,859.54
BIKAJI,772.4,713.0,729.73
MAHSCOOTER,16132.0,14987.8,11415.27
NIVABUPA,86.29,81.1,nan
RAINBOW,1558.5,1484.7,1458.73
TBOTEK,1464.8,1358.4,1417.8
SPLPETRO,805.15,703.2,692.27
GMDCLTD,436.05,392.8,337.69
KIRLOSENG,944.1,865.5,875.33
LEMONTREE,152.98,141.2,138.56
PRUDENT,2836.0,2533.1,2572.12
RELAXO,471.25,430.2,510.84
