ticker,close_price,st72_value,DMA_200
RELIANCE,1405.3,1371.2,1333.08
LT,3667.8,3518.7,3489.77
KOTAKBANK,2021.7,1942.8,2001.69
BAJAJHLDNG,13525.0,12773.6,12461.49
SOLARINDS,14609.0,13806.1,12611.82
BANKBARODA,240.58,231.9,229.46
GMRAIRPORT,92.84,87.2,82.56
ICICIGI,1912.5,1828.6,1860.33
SUPREMEIND,4593.9,4301.2,4077.78
PHOENIXLTD,1616.0,1529.2,1584.55
360ONE,1091.1,1038.6,1059.99
TATAINVEST,7039.0,6713.6,6440.69
FORCEMOT,19734.0,17523.1,11195.67
AADHARHFC,537.8,503.8,446.57
REDINGTON,289.3,241.3,242.76
TARIL,523.35,487.2,496.47
KIRLOSENG,931.2,860.5,853.31
MGL,1363.2,1269.8,1317.87
