ticker,close_price,st72_value,DMA_200,datee
HINDUNILVR,2603.7,2502.1,2388.84,20251018
ITC,412.15,399.2,414.26,20251018
M&M,3647.2,3469.6,3073.24,20251018
ADANIPOWER,165.98,148.7,114.26,20251018
BRITANNIA,6083.0,5834.0,5362.33,20251018
BAJAJHLDNG,12655.0,11856.7,12561.46,20251018
UNITDSPR,1361.4,1307.5,1409.21,20251018
DABUR,508.35,487.1,500.2,20251018
IRCTC,719.3,699.1,743.91,20251018
LAURUSLABS,900.05,840.0,699.28,20251018
RADICO,3108.5,2914.5,2550.7,20251018
ASAHIINDIA,941.3,864.2,747.51,20251018
FORCEMOT,17565.0,15800.3,12275.93,20251018
DCMSHRIRAM,1234.4,1161.6,1150.83,20251018
AKZOINDIA,3395.4,3278.6,3332.0,20251018
LTFOODS,419.2,391.3,412.0,20251018
SBFC,112.83,104.3,100.31,20251018
