ticker,close_price,st73_value,st72_value,DMA_200,DMA_10,datee
BAJFINANCE,1066.6,1037.0,1080.8,912.97,1058.08,20251109
INFY,1476.8,1427.1,1454.2,1546.36,1485.6,20251109
LICI,924.15,872.2,878.8,855.92,905.33,20251109
HINDUNILVR,2414.0,2508.4,2476.6,2379.84,2446.02,20251109
LT,3882.5,3818.5,3990.7,3517.07,3946.65,20251109
ITC,404.05,422.7,417.2,412.56,414.25,20251109
MARUTI,15479.0,16188.0,15918.5,13153.12,15855.9,20251109
M&M,3690.2,3416.3,3505.0,3111.38,3573.47,20251109
KOTAKBANK,2088.3,2190.7,2153.6,2059.69,2126.79,20251109
HCLTECH,1512.4,1465.1,1492.7,1548.21,1534.47,20251109
SUNPHARMA,1691.4,1630.8,1655.3,1680.11,1695.43,20251109
AXISBANK,1222.8,1183.8,1203.7,1119.92,1235.88,20251109
ULTRACEMCO,11849.0,12269.6,12119.4,11753.27,11929.2,20251109
TITAN,3769.3,3586.1,3657.1,3428.13,3749.91,20251109
BAJAJFINSV,2102.1,2058.9,2132.6,1968.89,2104.36,20251109
NTPC,326.1,340.7,335.2,330.79,333.41,20251109
ONGC,252.2,243.5,247.8,240.75,253.53,20251109
ADANIPORTS,1448.3,1397.8,1475.3,1307.89,1440.59,20251109
HAL,4626.6,4797.7,4725.5,4417.41,4679.29,20251109
BEL,414.25,402.2,404.6,352.92,414.75,20251109
ADANIPOWER,151.48,151.1,162.5,118.32,158.6,20251109
JSWSTEEL,1171.7,1137.6,1160.9,1036.12,1181.7,20251109
ETERNAL,306.1,333.4,324.0,266.97,322.03,20251109
ADANIENT,2369.4,2550.4,2483.3,2411.44,2452.28,20251109
DMART,4011.0,4254.9,4181.1,4138.81,4163.68,20251109
POWERGRID,272.0,286.3,281.1,287.05,284.26,20251109
WIPRO,236.49,247.1,243.9,257.4,240.4,20251109
ASIANPAINT,2613.8,2466.3,2511.5,2361.57,2530.34,20251109
BAJAJ-AUTO,8721.5,9065.8,8936.3,8348.59,8886.9,20251109
NESTLEIND,1262.7,1215.1,1233.3,1168.52,1270.4,20251109
COALINDIA,376.0,387.3,385.3,368.72,377.77,20251109
IOC,169.16,159.5,162.7,138.14,164.6,20251109
TATASTEEL,181.37,173.1,176.8,153.81,181.07,20251109
INDIGO,5583.5,5906.2,5816.5,5354.44,5705.3,20251109
HINDZINC,474.5,465.2,488.0,443.4,476.03,20251109
VEDL,515.05,476.9,489.4,429.87,507.37,20251109
SBILIFE,1998.9,1886.2,1916.6,1711.78,1961.67,20251109
HYUNDAI,2326.2,2460.0,2299.2,2029.75,2367.9,20251109
GRASIM,2724.6,2899.3,2835.2,2673.92,2874.62,20251109
JIOFIN,299.3,297.6,307.0,280.69,305.19,20251109
EICHERMOT,6886.0,6714.7,7090.7,5701.08,6924.3,20251109
HINDALCO,790.4,845.6,824.6,678.38,834.41,20251109
DLF,759.45,742.4,754.9,744.13,770.92,20251109
ADANIGREEN,1059.8,1017.0,1058.7,974.22,1081.23,20251109
DIVISLAB,6656.5,6483.2,6600.2,6168.85,6678.65,20251109
LTIM,5567.5,5380.0,5485.5,5115.68,5645.75,20251109
TRENT,4627.3,4863.5,4795.9,5276.69,4708.46,20251109
TVSMOTOR,3456.8,3662.2,3576.4,2871.51,3518.82,20251109
HDFCLIFE,749.25,775.7,761.6,723.72,742.27,20251109
IRFC,121.36,125.8,123.9,128.42,122.78,20251109
BPCL,367.15,343.7,350.9,299.17,352.87,20251109
VBL,470.2,440.7,456.5,492.62,472.27,20251109
SHRIRAMFIN,816.35,732.6,755.2,633.35,762.57,20251109
TMPV,405.7,390.0,398.0,nan,409.57,20251109
BANKBARODA,289.05,269.5,275.7,234.91,281.92,20251109
BRITANNIA,6157.5,5615.9,5757.8,5444.07,5909.8,20251109
PIDILITIND,1454.8,1520.9,1497.9,1475.21,1470.32,20251109
CHOLAFIN,1703.9,1637.3,1673.5,1520.95,1717.22,20251109
PNB,122.38,117.0,119.1,102.71,121.77,20251109
BAJAJHLDNG,12580.0,11323.8,11800.9,12662.98,12618.9,20251109
AMBUJACEM,558.8,585.2,552.0,552.19,564.94,20251109
TATACAP,322.85,315.2,319.9,nan,327.73,20251109
PFC,380.25,413.3,403.7,401.15,397.07,20251109
MUTHOOTFIN,3230.0,3121.2,3315.5,2529.3,3183.7,20251109
TATAPOWER,393.2,390.5,404.7,382.83,401.91,20251109
CANBK,140.67,130.6,133.7,104.55,135.65,20251109
TECHM,1386.7,1455.7,1436.3,1497.43,1425.91,20251109
