ticker,close_price,st73_value,st72_value,DMA_200,DMA_10,datee
MRF,153500.0,159284.7,156956.4,139771.61,153474.0,20251209
JSL,766.85,786.4,730.8,689.67,758.85,20251209
PGHH,12726.0,13139.7,12968.8,13499.29,12724.6,20251209
3MINDIA,34915.0,33569.2,35692.2,29927.67,34879.5,20251209
AADHARHFC,485.65,502.5,495.5,472.92,484.08,20251209
GALLANTT,596.25,541.9,577.5,534.69,591.48,20251209
NIVABUPA,75.42,78.6,77.0,80.26,74.76,20251209
HOMEFIRST,1118.2,1182.3,1150.4,1199.38,1105.63,20251209
LATENTVIEW,497.35,,435.4,416.71,479.27,20251209
LATENTVIEW,497.35,,435.4,416.71,479.27,20251209
LATENTVIEW,497.35,439.7,435.4,416.71,479.27,20251209
