ticker,close_price,st72_value,DMA_200,DMA_10,datee
LT,3932.9,3730.9,3714.16,3822.13,20260130
AXISBANK,1363.7,1255.1,1188.86,1303.1,20260130
NTPC,358.15,337.0,333.32,344.63,20260130
MUTHOOTFIN,4091.7,3844.7,2977.36,3923.74,20260130
TATAPOWER,366.45,345.2,388.67,356.68,20260130
INDUSTOWER,441.55,409.9,387.03,425.09,20260130
SIEMENS,3096.3,2859.9,3126.89,2937.54,20260130
CGPOWER,589.0,527.3,681.26,569.13,20260130
POWERINDIA,18322.0,16787.7,18517.71,16949.6,20260130
NMDC,84.6,77.9,73.09,80.5,20260130
TORNTPOWER,1371.2,1281.4,1350.5,1326.78,20260130
AIAENG,3999.9,3665.6,3397.9,3844.85,20260130
NLCINDIA,264.4,234.8,241.34,251.77,20260130
GILLETTE,8301.0,7612.5,9260.51,8017.95,20260130
STARHEALTH,450.5,426.2,448.01,437.3,20260130
KIOCL,378.55,333.7,356.98,358.03,20260130
ECLERX,4682.6,4173.6,3956.96,4442.49,20260130
GMDCLTD,618.35,529.9,467.81,550.94,20260130
DCMSHRIRAM,1187.1,1050.3,1199.62,1133.86,20260130
CENTURYPLY,777.7,709.9,763.87,747.96,20260130
CGCL,179.22,166.1,180.2,174.15,20260130
VGUARD,334.5,306.6,360.88,312.54,20260130
SAMMAANCAP,147.57,136.3,139.77,140.69,20260130
TDPOWERSYS,676.9,612.5,579.28,649.6,20260130
TMB,606.45,546.0,462.42,562.77,20260130
APOLLO,253.2,228.6,227.8,236.16,20260130
