rank,ticker,st_config,capital_used,total_pnl,pct_return,total_trades,winning_trades,win_pct,final_capital
1,DIACABS,ST72,10000,436827.79,4368.28,18,7,38.9,446827.79
2,UEL,ST72,10000,367168.86,3671.69,16,11,68.8,377168.86
3,SWANDEF,ST72,10000,359082.51,3590.83,5,4,80.0,369082.51
4,E2E,ST73,10000,168100.56,1681.01,14,11,78.6,178100.56
5,CUPID,ST72,10000,107778.73,1077.79,14,9,64.3,117778.73
6,V2RETAIL,ST73,10000,76992.05,769.92,7,5,71.4,86992.05
7,MARINE,ST73,10000,70847.1,708.47,8,6,75.0,80847.1
8,SKYGOLD,ST72,10000,59646.53,596.47,20,11,55.0,69646.53
9,GVT&D,ST72,10000,52543.43,525.43,16,12,75.0,62543.43
10,STLTECH,ST73,10000,49331.24,493.31,8,3,37.5,59331.24
11,TFCILTD,ST73,10000,47520.92,475.21,9,6,66.7,57520.92
12,WEBELSOLAR,ST72,10000,47100.48,471.0,18,8,44.4,57100.48
13,SIGMAADV,ST73,10000,46900.37,469.0,15,9,60.0,56900.37
14,IFCI,ST72,10000,45476.58,454.77,17,8,47.1,55476.58
15,POCL,ST73,10000,39689.48,396.89,8,5,62.5,49689.48
16,QPOWER,ST72,10000,38308.92,383.09,7,6,85.7,48308.92
17,UNIVCABLES,ST73,10000,37395.13,373.95,6,4,66.7,47395.13
18,CEMPRO,ST72,10000,37392.44,373.92,14,8,57.1,47392.44
19,SHILPAMED,ST73,10000,36462.42,364.62,7,4,57.1,46462.42
20,GRWRHITECH,ST72,10000,35301.44,353.01,13,8,61.5,45301.44
21,BBOX,ST72,10000,32005.99,320.06,14,7,50.0,42005.99
22,BSE,ST72,10000,31814.12,318.14,19,7,36.8,41814.12
23,SMLMAH,ST73,10000,31466.1,314.66,9,5,55.6,41466.1
24,GODFRYPHLP,ST73,10000,30878.02,308.78,6,4,66.7,40878.02
25,IBULLSLTD,ST72,10000,30629.81,306.3,21,10,47.6,40629.81
26,RPEL,ST73,10000,30183.22,301.83,3,3,100.0,40183.22
27,NPST,ST73,10000,29679.6,296.8,10,7,70.0,39679.6
28,ORCHPHARMA,ST72,10000,27447.95,274.48,12,5,41.7,37447.95
29,POWERINDIA,ST73,10000,26606.37,266.06,9,4,44.4,36606.37
30,HIRECT,ST73,10000,25733.1,257.33,7,5,71.4,35733.1
31,TARIL,ST73,10000,25212.89,252.13,9,2,22.2,35212.89
32,63MOONS,ST72,10000,24643.47,246.43,20,9,45.0,34643.47
33,WELCORP,ST73,10000,23748.85,237.49,9,4,44.4,33748.85
34,PCJEWELLER,ST72,10000,23196.82,231.97,21,7,33.3,33196.82
35,GOKULAGRO,ST73,10000,22782.34,227.82,7,4,57.1,32782.34
36,IIFLCAPS,ST72,10000,22430.24,224.3,15,8,53.3,32430.24
37,KIRLPNU,ST73,10000,22234.69,222.35,6,4,66.7,32234.69
38,COCHINSHIP,ST73,10000,22059.62,220.6,10,5,50.0,32059.62
39,PAISALO,ST72,10000,21894.36,218.94,14,7,50.0,31894.36
40,SUVEN,ST73,10000,21813.59,218.14,9,5,55.6,31813.59
41,ANANDRATHI,ST72,10000,21687.0,216.87,15,7,46.7,31687.0
42,GVPIL,ST73,10000,21304.78,213.05,9,6,66.7,31304.78
43,NETWEB,ST73,10000,21287.79,212.88,10,6,60.0,31287.79
44,NACLIND,ST73,10000,20988.63,209.89,7,3,42.9,30988.63
45,RAMRAT,ST73,10000,20639.89,206.4,8,5,62.5,30639.89
46,PAYTM,ST73,10000,20074.75,200.75,8,5,62.5,30074.75
47,INDOTECH,ST72,10000,19506.5,195.06,23,12,52.2,29506.5
48,KIRLOSENG,ST72,10000,19164.05,191.64,17,9,52.9,29164.05
49,MOREPENLAB,ST72,10000,19139.78,191.4,16,8,50.0,29139.78
50,MANORAMA,ST73,10000,19040.16,190.4,8,4,50.0,29040.16
51,OPTIEMUS,ST73,10000,19037.85,190.38,6,3,50.0,29037.85
52,WABAG,ST73,10000,18824.84,188.25,8,3,37.5,28824.84
53,GALLANTT,ST73,10000,18815.31,188.15,11,6,54.5,28815.31
54,SHAILY,ST72,10000,18759.31,187.59,16,9,56.2,28759.31
55,PARAS,ST73,10000,18512.89,185.13,9,4,44.4,28512.89
56,SHAKTIPUMP,ST72,10000,18325.32,183.25,18,8,44.4,28325.32
57,ROSSTECH,ST72,10000,18143.72,181.44,8,6,75.0,28143.72
58,PGIL,ST73,10000,17561.59,175.62,7,5,71.4,27561.59
59,SJS,ST73,10000,17122.68,171.23,6,5,83.3,27122.68
60,DEEPAKFERT,ST73,10000,17120.68,171.21,7,4,57.1,27120.68
61,APARINDS,ST72,10000,16956.55,169.57,17,9,52.9,26956.55
62,AVALON,ST73,10000,16624.7,166.25,8,4,50.0,26624.7
63,KRISHANA,ST73,10000,16191.34,161.91,9,5,55.6,26191.34
64,YATHARTH,ST73,10000,16114.66,161.15,7,5,71.4,26114.66
65,TSFINV,ST73,10000,16109.91,161.1,7,6,85.7,26109.91
66,OFSS,ST72,10000,15876.82,158.77,16,10,62.5,25876.82
67,SETL,ST72,10000,15841.01,158.41,7,3,42.9,25841.01
68,REFEX,ST73,10000,15835.79,158.36,9,4,44.4,25835.79
69,SCHNEIDER,ST73,10000,15776.7,157.77,9,4,44.4,25776.7
70,SUDARSCHEM,ST73,10000,15705.75,157.06,6,4,66.7,25705.75
71,ZOTA,ST73,10000,15527.93,155.28,7,5,71.4,25527.93
72,SHREEJISPG,ST72,10000,15429.96,154.3,4,3,75.0,25429.96
73,PARADEEP,ST73,10000,15350.4,153.5,6,4,66.7,25350.4
74,INNOVACAP,ST73,10000,15210.71,152.11,4,2,50.0,25210.71
75,RUBICON,ST72,10000,15142.01,151.42,1,1,100.0,25142.01
76,BALUFORGE,ST72,10000,15079.98,150.8,14,6,42.9,25079.98
77,IOLCP,ST73,10000,15051.47,150.51,9,2,22.2,25051.47
78,VADILALIND,ST73,10000,14889.07,148.89,9,3,33.3,24889.07
79,MCX,ST73,10000,14867.49,148.67,9,6,66.7,24867.49
80,GRSE,ST73,10000,14833.54,148.34,9,3,33.3,24833.54
81,CHOICEIN,ST73,10000,14772.15,147.72,9,6,66.7,24772.15
82,DEEDEV,ST72,10000,14708.66,147.09,10,5,50.0,24708.66
83,HINDCOPPER,ST73,10000,14482.36,144.82,9,3,33.3,24482.36
84,BLISSGVS,ST72,10000,14395.17,143.95,17,9,52.9,24395.17
85,NATIONALUM,ST73,10000,14351.24,143.51,10,7,70.0,24351.24
86,RAJTV,ST73,10000,14173.62,141.74,5,2,40.0,24173.62
87,TBZ,ST73,10000,14171.18,141.71,10,3,30.0,24171.18
88,HINDPETRO,ST72,10000,14122.13,141.22,17,9,52.9,24122.13
89,VOLTAMP,ST73,10000,14049.69,140.5,10,4,40.0,24049.69
90,SOTL,ST73,10000,13891.57,138.92,7,4,57.1,23891.57
91,ASTERDM,ST72,10000,13807.39,138.07,12,8,66.7,23807.39
92,INOXGREEN,ST73,10000,13786.7,137.87,9,5,55.6,23786.7
