rank,ticker,st_config,pct_return,total_pnl,total_trades,winning_trades,win_pct,capital_used,final_capital
1,DIACABS,ST72,4368.28,436827.79,18,7,38.9,10000,446827.79
2,SWANDEF,ST72,3590.83,359082.51,6,4,66.7,10000,369082.51
3,E2E,ST73,1689.74,168973.76,14,11,78.6,10000,178973.76
4,CUPID,ST72,1077.79,107778.73,14,9,64.3,10000,117778.73
5,V2RETAIL,ST73,769.92,76992.05,7,5,71.4,10000,86992.05
6,MARINE,ST73,687.71,68771.4,8,6,75.0,10000,78771.4
7,SKYGOLD,ST72,596.47,59646.53,21,11,52.4,10000,69646.53
8,STLTECH,ST73,585.74,58574.24,8,3,37.5,10000,68574.24
9,GVT&D,ST72,576.77,57677.24,16,13,81.2,10000,67677.24
10,WEBELSOLAR,ST72,471.0,47100.48,18,8,44.4,10000,57100.48
11,TFCILTD,ST73,468.91,46891.35,9,6,66.7,10000,56891.35
12,SIGMAADV,ST73,463.6,46360.17,15,9,60.0,10000,56360.17
13,POCL,ST73,396.89,39689.48,8,5,62.5,10000,49689.48
14,QPOWER,ST72,388.82,38881.72,7,6,85.7,10000,48881.72
15,IFCI,ST72,386.83,38682.84,17,8,47.1,10000,48682.84
16,CEMPRO,ST72,373.92,37392.44,14,8,57.1,10000,47392.44
17,UNIVCABLES,ST73,364.14,36414.13,6,4,66.7,10000,46414.13
18,SHILPAMED,ST73,362.92,36292.02,7,4,57.1,10000,46292.02
19,GRWRHITECH,ST72,332.97,33297.44,13,8,61.5,10000,43297.44
20,SMLMAH,ST73,330.95,33095.1,9,5,55.6,10000,43095.1
21,BSE,ST72,318.14,31814.12,19,7,36.8,10000,41814.12
22,BBOX,ST72,314.04,31403.89,15,7,46.7,10000,41403.89
23,GODFRYPHLP,ST73,308.78,30878.02,6,4,66.7,10000,40878.02
24,IBULLSLTD,ST72,308.07,30806.52,20,10,50.0,10000,40806.52
25,PCJEWELLER,ST72,288.23,28822.81,21,7,33.3,10000,38822.81
26,NPST,ST73,287.99,28798.7,10,7,70.0,10000,38798.7
27,ORCHPHARMA,ST72,274.48,27447.95,12,5,41.7,10000,37447.95
28,HIRECT,ST73,272.18,27217.9,7,5,71.4,10000,37217.9
29,RPEL,ST73,271.82,27182.42,3,3,100.0,10000,37182.42
30,POWERINDIA,ST73,266.06,26606.37,9,4,44.4,10000,36606.37
31,TARIL,ST73,247.43,24743.09,9,2,22.2,10000,34743.09
32,PAISALO,ST72,243.97,24396.96,14,7,50.0,10000,34396.96
33,63MOONS,ST72,241.97,24196.92,20,9,45.0,10000,34196.92
34,WELCORP,ST73,239.82,23981.54,9,4,44.4,10000,33981.54
35,INDSWFTLAB,ST72,238.69,23869.44,16,9,56.2,10000,33869.44
36,COCHINSHIP,ST73,232.55,23254.52,10,5,50.0,10000,33254.52
37,GOKULAGRO,ST73,226.96,22696.33,7,4,57.1,10000,32696.33
38,KIRLPNU,ST73,222.35,22234.69,6,4,66.7,10000,32234.69
39,IIFLCAPS,ST72,221.31,22130.98,15,8,53.3,10000,32130.98
40,PAYTM,ST73,217.31,21730.75,8,5,62.5,10000,31730.75
41,LUMAXTECH,ST73,213.33,21332.84,8,5,62.5,10000,31332.84
42,GVPIL,ST73,213.05,21304.78,9,6,66.7,10000,31304.78
43,ANANDRATHI,ST72,211.93,21192.8,15,7,46.7,10000,31192.8
44,NACLIND,ST73,209.89,20988.63,7,3,42.9,10000,30988.63
45,WABAG,ST73,205.83,20583.24,8,3,37.5,10000,30583.24
46,MANORAMA,ST73,204.39,20438.76,8,4,50.0,10000,30438.76
47,SHAILY,ST72,201.73,20172.91,16,9,56.2,10000,30172.91
48,SUVEN,ST73,200.92,20091.59,9,4,44.4,10000,30091.59
49,MOREPENLAB,ST72,198.57,19856.58,16,8,50.0,10000,29856.58
50,PARAS,ST73,196.15,19614.89,9,4,44.4,10000,29614.89
51,NETWEB,ST73,195.21,19520.79,10,6,60.0,10000,29520.79
52,INDOTECH,ST72,194.65,19464.9,23,12,52.2,10000,29464.9
53,KIRLOSENG,ST72,193.98,19398.05,17,9,52.9,10000,29398.05
54,ROSSTECH,ST72,191.81,19180.52,8,6,75.0,10000,29180.52
55,OPTIEMUS,ST73,190.38,19037.85,6,3,50.0,10000,29037.85
56,RAMRAT,ST73,188.42,18841.69,8,5,62.5,10000,28841.69
57,SHAKTIPUMP,ST72,183.25,18325.32,18,8,44.4,10000,28325.32
58,GALLANTT,ST73,179.7,17970.31,11,6,54.5,10000,27970.31
59,AVALON,ST73,177.89,17788.7,8,4,50.0,10000,27788.7
60,PGIL,ST73,175.57,17556.79,7,5,71.4,10000,27556.79
61,DEEPAKFERT,ST73,171.21,17120.68,7,4,57.1,10000,27120.68
62,SJS,ST73,170.03,17002.77,6,5,83.3,10000,27002.77
63,APARINDS,ST72,169.84,16983.55,17,9,52.9,10000,26983.55
64,SETL,ST72,168.33,16833.26,7,3,42.9,10000,26833.26
65,SHREEJISPG,ST72,166.49,16649.11,4,4,100.0,10000,26649.11
66,SUDARSCHEM,ST73,165.35,16535.25,6,4,66.7,10000,26535.25
67,TBZ,ST73,165.09,16508.67,10,3,30.0,10000,26508.67
