rank,ticker,pct_return,total_pnl,st_config,flip_date,close_price,st_value,ema_50,ema_200,above_ema50,above_ema200,above_both
1,BBOX,314.04,31403.89,ST72,2026-09-07,770.9,705.7,787.88,724.06,False,True,False
2,IIFLCAPS,221.31,22130.98,ST72,2026-09-04,339.4,332.13,336.36,328.3,True,True,True
3,ZOTA,155.28,15527.93,ST72,2026-09-04,1113.1,1039.68,1191.86,1298.79,False,False,False
4,JUBLPHARMA,106.28,10627.7,ST72,2026-09-07,997.75,917.2,928.87,967.71,True,True,True
5,SPECTRUM,87.44,8744.05,ST72,2026-09-04,2611.1,2338.57,2143.31,1729.3,True,True,True
6,TARC,84.01,8401.27,ST72,2026-09-04,131.53,122.97,125.75,133.46,True,False,False
7,NRBBEARING,79.7,7970.07,ST72,2026-09-07,489.6,446.57,444.65,363.19,True,True,True
8,HERITGFOOD,78.81,7880.54,ST72,2026-09-04,382.15,353.05,355.22,368.54,True,True,True
9,SPLPETRO,73.23,7323.19,ST72,2026-09-04,828.4,747.16,718.68,690.76,True,True,True
10,ANGELONE,66.08,6607.84,ST72,2026-09-04,298.0,280.24,302.43,292.93,False,True,False
11,RML,59.8,5979.84,ST72,2026-09-04,1390.0,1250.5,1117.5,956.0,True,True,True
12,APOLLO,54.65,5464.69,ST72,2026-09-07,417.9,389.91,389.23,336.5,True,True,True
13,RAIN,47.08,4708.11,ST72,2026-09-04,217.81,199.67,204.67,169.45,True,True,True
14,TVSHLTD,42.47,4247.03,ST72,2026-09-07,13377.0,13163.57,13905.47,14146.49,False,False,False
15,PURVA,38.26,3825.74,ST72,2026-09-04,216.39,207.32,216.45,222.85,False,False,False
