rank,ticker,pct_return,total_pnl,st_config,flip_date,close_price,st_value,ema_50,ema_200,above_ema50,above_ema200,above_both
1,SWANDEF,3702.01,370201.12,ST72,2026-09-09,2662.8,2267.89,2382.05,1970.86,True,True,True
2,SKYGOLD,592.48,59248.13,ST72,2026-09-09,830.3,760.89,720.52,534.68,True,True,True
3,SHREEJISPG,158.59,15859.16,ST73,2026-09-09,713.1,643.87,620.34,484.29,True,True,True
4,ABSLAMC,91.35,9134.95,ST73,2026-09-09,1088.5,958.0,1040.1,960.45,True,True,True
5,PRIVISCL,86.63,8662.98,ST72,2026-09-09,3495.6,3325.69,3489.42,3321.8,True,True,True
6,ADANIPORTS,46.89,4688.79,ST72,2026-09-09,1768.0,1680.65,1720.85,1647.44,True,True,True
7,ADANIPORTS,46.89,4688.79,ST73,2026-09-09,1768.0,1638.37,1720.85,1647.44,True,True,True
8,RAIN,43.64,4363.59,ST73,2026-09-09,217.28,196.34,205.83,170.12,True,True,True
9,BAJAJCON,38.8,3879.5,ST73,2026-09-09,524.45,456.65,518.35,458.73,True,True,True
10,SANATHAN,37.85,3784.6,ST72,2026-09-09,483.1,439.88,458.15,446.74,True,True,True
