rank,ticker,pct_return,total_pnl,st_config,flip_date,close_price,st_value,ema_50,ema_200,above_ema50,above_ema200,above_both
1,SWANDEF,3794.45,379445.3,ST72,2026-09-09,2662.8,2363.91,2382.05,1970.86,True,True,True
2,SKYGOLD,592.48,59248.13,ST72,2026-09-09,830.3,760.89,720.52,535.12,True,True,True
3,SHREEJISPG,158.59,15859.16,ST73,2026-09-09,713.1,643.87,620.34,483.63,True,True,True
4,ABSLAMC,91.35,9134.95,ST73,2026-09-09,1088.5,958.0,1040.09,959.0,True,True,True
5,PRIVISCL,89.65,8965.48,ST72,2026-09-09,3495.6,3325.69,3489.4,3311.41,True,True,True
6,STYRENIX,55.08,5507.86,ST72,2026-09-09,2142.9,2031.6,2177.71,2140.03,False,True,False
7,ADANIPORTS,46.89,4688.79,ST72,2026-09-09,1768.0,1680.65,1720.85,1645.82,True,True,True
8,ADANIPORTS,46.89,4688.79,ST73,2026-09-09,1768.0,1638.37,1720.85,1645.82,True,True,True
9,RAIN,42.77,4277.13,ST73,2026-09-09,217.28,196.34,205.83,169.86,True,True,True
10,BAJAJCON,37.77,3776.8,ST73,2026-09-09,524.45,464.29,518.34,458.55,True,True,True
