ticker,st73_signal,st73_value,st72_signal,st72_value,close_price,DMA_200
RELIANCE,0,1424.8,0,1387.0,1407.4,1334.72
HDFCBANK,0,985.1,0,952.8,966.9,915.96
BHARTIARTL,1,1865.1,0,1894.2,1962.4,1772.75
TCS,0,3188.9,0,3095.9,3169.2,3542.07
ICICIBANK,0,1440.2,0,1424.2,1402.2,1352.23
SBIN,0,822.7,0,833.8,862.35,781.24
INFY,0,1462.1,0,1490.3,1540.2,1637.35
BAJFINANCE,0,949.5,0,970.1,992.45,858.92
HINDUNILVR,0,2545.9,0,2656.6,2559.6,2373.97
LICI,0,906.7,1,874.1,893.55,853.99
ITC,0,401.0,0,420.2,410.65,418.9
LT,0,3551.6,0,3597.0,3675.4,3489.44
MARUTI,0,15159.8,0,15418.4,15864.0,12371.16
M&M,0,3397.4,0,3497.7,3592.1,3028.2
KOTAKBANK,0,1966.6,0,1995.0,2031.0,2006.05
HCLTECH,0,1500.3,0,1445.9,1467.4,1621.88
SUNPHARMA,0,1585.8,0,1609.0,1656.0,1702.04
ULTRACEMCO,0,12210.4,0,12770.8,12508.0,11637.81
AXISBANK,0,1087.5,0,1103.4,1135.9,1102.18
BAJAJFINSV,0,1999.8,0,2030.3,2067.3,1899.67
HAL,0,4628.5,0,4716.0,4916.2,4330.07
NTPC,0,340.0,0,329.5,338.65,332.6
DMART,0,4528.6,0,4822.6,4775.3,4035.57
ADANIPORTS,0,1367.0,0,1392.2,1427.8,1270.82
TITAN,0,3645.7,0,3592.3,3467.2,3397.08
ETERNAL,0,317.5,0,324.1,336.55,257.55
BEL,0,385.9,0,394.2,408.9,333.79
ONGC,0,240.4,0,238.8,236.69,240.54
ADANIENT,1,2342.1,0,2402.3,2524.0,2399.64
JSWSTEEL,0,1069.7,0,1086.4,1122.8,1000.88
ADANIPOWER,0,254.3,0,211.5,141.88,530.58
WIPRO,0,244.2,0,248.8,255.88,264.89
POWERGRID,0,275.8,0,279.9,286.2,290.7
TATAMOTORS,0,678.9,0,692.2,707.45,693.93
BAJAJ-AUTO,0,8684.3,0,8900.4,8971.5,8303.17
COALINDIA,0,384.1,0,389.4,394.5,376.56
ASIANPAINT,0,2460.4,0,2558.0,2481.7,2340.15
NESTLEIND,0,1156.6,0,1176.0,1194.5,1141.85
HYUNDAI,0,2481.0,0,2575.5,2809.3,1923.77
INDIGO,0,5931.7,0,5825.1,5679.0,5140.26
TATASTEEL,0,163.4,0,166.1,171.48,147.51
IOC,0,141.5,0,143.8,148.5,134.55
JIOFIN,0,325.4,0,320.7,317.0,281.53
GRASIM,0,2749.9,0,2789.9,2877.9,2622.35
DLF,0,743.1,0,758.3,777.7,754.45
HINDZINC,0,432.1,0,442.8,453.05,439.24
EICHERMOT,0,6613.8,0,6733.0,6973.5,5373.62
SBILIFE,0,1778.9,0,1860.4,1841.7,1644.15
TRENT,0,5411.2,0,5312.8,5080.0,5617.11
VEDL,0,429.0,0,439.1,455.6,422.87
ADANIGREEN,0,949.0,0,978.3,1030.7,975.97
IRFC,0,123.1,0,125.2,129.69,133.3
HDFCLIFE,0,810.8,0,793.1,782.2,703.65
TVSMOTOR,0,3350.9,0,3423.7,3529.4,2698.57
HINDALCO,0,721.5,0,733.7,743.3,650.53
DIVISLAB,0,6314.1,1,5994.7,6200.0,6097.88
LTIM,0,5193.2,0,5307.2,5509.5,5222.22
VBL,0,497.3,0,487.3,474.45,519.07
PIDILITIND,0,2993.0,0,3038.9,3048.3,2940.7
BAJAJHLDNG,0,13678.9,0,13095.1,13206.0,12505.72
BRITANNIA,0,5862.6,0,5986.9,6069.5,5253.5
AMBUJACEM,0,593.7,0,562.4,582.45,548.63
BPCL,1,310.4,0,316.7,329.55,295.08
TECHM,0,1475.9,0,1502.1,1553.8,1552.39
PFC,0,391.2,0,397.0,409.1,408.75
CHOLAFIN,0,1482.7,0,1515.6,1590.9,1455.36
SOLARINDS,0,14939.8,0,14054.3,14672.0,12673.95
BANKBARODA,0,237.8,0,242.4,252.08,229.59
PNB,0,106.8,0,108.9,113.3,100.12
CIPLA,0,1520.7,0,1595.5,1575.8,1485.51
GODREJCP,0,1190.3,0,1219.9,1238.9,1172.87
TATAPOWER,0,377.2,0,383.3,396.3,382.94
HDFCAMC,0,5899.6,0,5687.0,5856.5,4591.19
TORNTPHARM,0,3519.1,0,3653.4,3629.2,3310.75
CGPOWER,0,744.4,0,760.9,779.4,666.7
ENRIN,0,3221.2,0,3331.7,3435.6,nan
LODHA,0,1255.3,0,1230.3,1216.1,1283.02
MAZDOCK,0,2795.8,0,2861.2,2985.0,2711.02
GAIL,0,172.3,0,175.3,181.65,178.76
SHRIRAMFIN,0,595.6,0,607.8,633.2,619.51
SIEMENS,0,3127.2,0,3194.0,3325.9,3262.18
MUTHOOTFIN,0,2789.2,0,2849.0,2934.9,2356.37
BOSCHLTD,0,39055.4,0,41151.4,39790.0,32470.39
ABB,0,5201.7,0,5281.6,5436.9,5751.66
MOTHERSON,0,100.9,0,104.0,109.08,95.99
POLYCAB,0,7117.4,0,7243.6,7549.0,6263.98
CUMMINSIND,0,3919.8,0,3990.1,4080.4,3215.25
MAXHEALTH,0,1224.3,0,1200.8,1159.7,1145.96
APOLLOHOSP,0,7585.4,0,7685.4,7806.5,7048.44
TATACONSUM,0,1064.6,0,1087.7,1126.8,1041.3
INDHOTEL,0,748.6,0,760.0,775.55,779.48
DRREDDY,0,1257.4,0,1278.1,1321.7,1236.93
DIXON,0,17497.0,0,17753.0,18177.0,15768.55
MANKIND,1,2495.9,0,2547.1,2660.6,2506.68
HEROMOTOCO,0,5131.0,0,5221.9,5408.0,4192.48
SHREECEM,0,31230.3,0,30658.6,29880.0,29073.02
UNIONBANK,0,129.1,0,132.4,140.3,125.01
CANBK,0,109.6,0,112.1,117.76,99.59
JINDALSTEL,0,989.6,0,1008.8,1046.0,927.08
SWIGGY,0,410.8,0,426.3,458.45,400.59
ADANIENSOL,0,803.5,0,828.1,877.15,818.47
ZYDUSLIFE,0,990.2,0,1009.2,1037.3,939.67
WAAREEENER,0,3222.1,0,3394.4,3526.3,2765.18
RECLTD,0,368.4,0,374.6,384.5,412.52
IDBI,0,95.6,0,88.7,93.76,83.9
HAVELLS,0,1530.7,0,1556.1,1590.8,1557.76
GMRAIRPORT,0,86.9,0,88.9,92.53,82.69
UNITDSPR,0,1357.6,0,1292.3,1328.2,1427.75
BAJAJHFL,0,116.5,0,112.2,114.58,119.55
JSWENERGY,0,510.8,0,523.0,545.5,527.0
DABUR,0,519.3,0,534.2,535.45,500.97
INDIANB,0,668.8,0,680.6,701.5,577.46
INDUSTOWER,0,334.1,0,344.0,356.85,364.37
LUPIN,0,1947.6,0,1982.1,2055.6,2014.83
MARICO,0,701.3,0,743.9,720.15,676.87
ICICIGI,0,1939.4,0,1824.8,1866.0,1860.6
IDEA,0,7.0,0,7.4,8.4,7.53
NAUKRI,0,1436.0,0,1326.2,1376.1,1461.35
BSE,0,2361.0,0,2322.3,2182.6,2125.43
NHPC,0,82.3,0,84.3,87.82,81.62
HINDPETRO,0,392.0,0,398.7,413.05,377.18
NTPCGREEN,0,107.8,0,101.6,104.03,109.11
ICICIPRULI,0,632.4,0,622.3,602.55,616.14
SRF,0,3006.5,0,2868.2,2937.2,2852.87
BHARTIHEXA,0,1692.7,0,1787.9,1714.7,1593.08
PERSISTENT,0,5127.8,0,5286.1,5506.0,5631.6
POWERINDIA,0,18476.9,0,20591.5,19025.0,15700.12
SBICARD,0,831.5,0,853.5,871.65,841.74
POLICYBZR,0,1756.2,0,1869.6,1809.6,1765.47
SUZLON,0,60.4,1,57.4,60.4,59.88
ASHOKLEY,0,130.5,0,133.9,140.89,115.55
BHEL,0,221.6,0,226.9,237.17,227.1
IOB,0,38.2,0,39.0,40.88,42.55
GVT&D,0,2752.9,0,2850.7,3068.7,2044.57
OFSS,0,8383.8,0,8754.9,9018.0,9001.47
UNOMINDA,0,1239.9,0,1265.8,1319.7,1031.25
RVNL,0,335.1,0,344.9,363.45,377.68
ABCAPITAL,0,271.6,0,278.3,289.15,217.4
PAYTM,0,1173.5,0,1266.3,1177.2,928.02
FORTIS,0,919.7,0,937.8,953.95,735.92
ATGL,1,600.7,0,620.8,651.45,637.85
VMM,0,140.5,0,144.3,152.35,nan
JSWINFRA,0,309.1,0,317.5,335.8,296.37
PRESTIGE,0,1667.0,0,1564.2,1618.7,1483.16
LLOYDSME,0,1404.4,0,1370.0,1328.5,1315.85
NYKAA,0,229.4,0,234.7,243.62,191.87
NMDC,0,72.9,0,74.3,76.53,67.33
COROMANDEL,0,2421.4,0,2354.4,2261.5,2113.94
YESBANK,0,20.0,0,20.4,21.17,19.21
PATANJALI,0,625.1,0,614.3,608.9,596.3
ALKEM,0,5273.9,0,5358.7,5541.5,5064.36
OIL,0,412.2,1,387.0,404.05,416.38
AUROPHARMA,0,1048.5,0,1074.8,1119.2,1149.41
HDBFS,0,752.0,0,766.0,784.3,nan
FACT,0,925.3,0,954.7,1000.15,883.22
SCHAEFFLER,0,3892.9,0,3975.2,4140.3,3645.79
