ticker,st73_signal,st73_value,st72_signal,st72_value,close_price,DMA_200,DMA10,10DMA_change
RELIANCE,0,1508.4,0,1529.1,1542.3,1402.29,1542.43,0
HDFCBANK,0,969.5,0,978.7,994.3,960.03,998.32,0
BHARTIARTL,0,2147.1,0,2115.9,2102.0,1899.83,2084.98,1
TCS,0,3103.7,0,3151.5,3205.1,3233.88,3212.91,0
ICICIBANK,0,1343.0,0,1359.5,1366.0,1385.29,1375.63,0
SBIN,0,993.5,0,978.5,961.15,830.17,960.1,0
INFY,0,1532.3,0,1560.1,1592.9,1513.98,1598.3,0
BAJFINANCE,0,1053.5,0,1040.6,998.4,942.24,1018.67,0
LT,0,3921.2,0,3980.7,4063.8,3608.29,4022.94,0
LICI,0,893.2,0,880.5,854.5,867.75,862.94,0
HINDUNILVR,0,2419.2,0,2371.3,2281.1,2391.26,2331.18,0
MARUTI,0,15702.2,0,15942.2,16354.0,13642.59,16212.3,0
ITC,0,413.5,0,409.4,401.7,410.84,402.2,0
HCLTECH,0,1602.3,0,1630.3,1651.7,1541.52,1667.16,0
M&M,0,3574.1,0,3729.0,3621.0,3215.5,3655.95,0
KOTAKBANK,0,2081.4,0,2115.2,2182.4,2087.83,2154.57,0
SUNPHARMA,0,1751.4,0,1774.4,1781.3,1687.95,1796.71,0
AXISBANK,0,1319.4,0,1295.3,1219.6,1156.51,1272.47,0
TITAN,0,3742.4,1,3748.7,3929.5,3501.38,3841.39,0
ULTRACEMCO,0,11889.0,0,11372.2,11528.0,11811.9,11551.8,0
BAJAJFINSV,0,2155.9,0,2119.9,2035.2,2005.3,2064.08,0
ADANIPORTS,0,1457.9,0,1536.9,1499.0,1363.2,1502.69,0
NTPC,0,331.8,0,327.4,321.0,332.75,322.28,0
ONGC,0,245.3,0,241.2,232.21,235.55,238.51,0
ADANIENT,0,2381.0,0,2323.2,2247.9,2416.8,2243.3,0
HAL,0,4566.1,0,4467.0,4261.4,4536.65,4346.66,0
BEL,0,410.7,0,403.1,388.0,372.16,393.69,0
ADANIPOWER,0,151.5,0,147.3,145.33,124.62,142.83,0
WIPRO,0,249.7,0,253.6,259.22,250.32,258.91,0
ASIANPAINT,0,2938.7,0,2883.0,2790.9,2440.58,2852.33,0
JSWSTEEL,0,1177.2,0,1150.6,1082.6,1064.33,1120.84,0
ETERNAL,0,311.5,0,303.1,284.45,277.04,291.8,0
TMPV,0,365.2,0,358.5,345.45,nan,349.0,0
BAJAJ-AUTO,0,8691.9,0,8829.3,9008.0,8422.06,9018.9,0
DMART,0,4037.6,0,3961.6,3856.8,4177.59,3872.52,0
POWERGRID,0,272.8,0,269.1,260.35,282.03,265.36,0
HINDZINC,0,509.1,0,527.6,567.7,452.25,521.39,0
NESTLEIND,0,1265.9,0,1248.3,1240.6,1189.17,1230.85,0
IOC,0,170.7,0,160.6,167.74,144.23,164.04,0
COALINDIA,0,385.4,0,374.1,381.6,372.54,380.65,0
VEDL,0,512.6,0,528.1,569.5,444.89,533.01,0
TATASTEEL,0,161.2,0,164.7,169.83,159.22,166.81,0
SBILIFE,0,1946.3,0,2037.2,2036.0,1785.43,2014.45,0
EICHERMOT,0,6872.5,0,7006.5,7061.5,5985.14,7155.1,0
INDIGO,0,5339.9,0,5142.2,4974.0,5521.4,5071.8,0
GRASIM,0,2707.4,0,2749.4,2799.1,2715.39,2768.93,0
JIOFIN,0,310.0,0,304.1,295.25,289.05,298.23,0
HINDALCO,0,800.2,0,817.1,837.15,706.51,826.59,0
HYUNDAI,0,2443.2,0,2386.4,2268.7,2108.88,2318.9,0
LTIM,0,5964.9,0,6075.0,6216.0,5167.73,6250.35,0
TVSMOTOR,0,3459.5,0,3525.9,3619.6,3029.25,3632.89,0
DLF,0,734.5,0,719.8,691.95,745.61,698.23,0
ADANIGREEN,0,1075.0,0,1048.5,1028.2,984.64,1016.1,0
DIVISLAB,0,6643.5,0,6530.1,6335.5,6252.86,6385.4,0
HDFCLIFE,0,742.4,0,779.0,764.35,743.73,766.88,0
VBL,0,454.5,0,463.9,477.15,484.41,476.49,0
BPCL,0,375.1,1,348.6,368.15,314.59,359.39,0
SHRIRAMFIN,0,811.4,0,865.1,848.4,673.19,842.83,0
