rank,ticker,st_config,pct_return,total_pnl,total_trades,winning_trades,win_pct,capital_used,final_capital
1,DIACABS,ST72,4368.28,436827.79,18,7,38.9,10000,446827.79
2,UEL,ST72,3671.69,367168.86,16,11,68.8,10000,377168.86
3,SWANDEF,ST72,3590.83,359082.51,5,4,80.0,10000,369082.51
4,E2E,ST73,1681.01,168100.56,14,11,78.6,10000,178100.56
5,CUPID,ST72,1077.79,107778.73,14,9,64.3,10000,117778.73
6,V2RETAIL,ST73,769.92,76992.05,7,5,71.4,10000,86992.05
7,MARINE,ST73,708.47,70847.1,8,6,75.0,10000,80847.1
8,SKYGOLD,ST72,596.47,59646.53,20,11,55.0,10000,69646.53
9,GVT&D,ST72,525.43,52543.44,16,12,75.0,10000,62543.44
10,STLTECH,ST73,493.31,49331.24,8,3,37.5,10000,59331.24
11,TFCILTD,ST73,475.21,47520.91,9,6,66.7,10000,57520.91
12,WEBELSOLAR,ST72,471.0,47100.48,18,8,44.4,10000,57100.48
13,SIGMAADV,ST73,469.0,46900.37,15,9,60.0,10000,56900.37
14,IFCI,ST72,454.77,45476.58,17,8,47.1,10000,55476.58
15,POCL,ST73,396.89,39689.48,8,5,62.5,10000,49689.48
16,QPOWER,ST72,383.09,38308.92,7,6,85.7,10000,48308.92
17,UNIVCABLES,ST73,373.95,37395.13,6,4,66.7,10000,47395.13
18,CEMPRO,ST72,373.92,37392.44,14,8,57.1,10000,47392.44
19,SHILPAMED,ST73,364.62,36462.42,7,4,57.1,10000,46462.42
20,GRWRHITECH,ST72,353.01,35301.44,13,8,61.5,10000,45301.44
21,BBOX,ST72,320.06,32005.99,14,7,50.0,10000,42005.99
22,BSE,ST72,318.14,31814.12,19,7,36.8,10000,41814.12
23,SMLMAH,ST73,314.66,31466.1,9,5,55.6,10000,41466.1
24,GODFRYPHLP,ST73,308.78,30878.02,6,4,66.7,10000,40878.02
25,IBULLSLTD,ST72,306.3,30629.81,21,10,47.6,10000,40629.81
26,RPEL,ST73,301.83,30183.22,3,3,100.0,10000,40183.22
27,NPST,ST73,296.8,29679.6,10,7,70.0,10000,39679.6
28,ORCHPHARMA,ST72,274.48,27447.95,12,5,41.7,10000,37447.95
29,POWERINDIA,ST73,266.06,26606.37,9,4,44.4,10000,36606.37
30,HIRECT,ST73,257.33,25733.1,7,5,71.4,10000,35733.1
31,TARIL,ST73,252.13,25212.89,9,2,22.2,10000,35212.89
32,63MOONS,ST72,246.43,24643.47,20,9,45.0,10000,34643.47
